,client_type,client_category,region,role_type,priority,num_skills,num_mcqs,num_must_have_skills,num_nice_have_skills,n_devs_must_have_mcq,n_devs_nice_have_mcq,n_devs_must_have_self,n_devs_nice_have_self,job_value,customer_weekly_hour_engagement,is_deleted,cluster,developer_chosen,job_id
361,new,1.Platinum,3.Top 30 GDP,Mobile,p0,1,1,1,0,1513.0,No Nice have skill,3385.0,No Nice have skill,5.8,40.0,0,0,0.0,1304
362,new,1.Platinum,3.Top 30 GDP,Web Backend,p0,5,6,1,4,752.0,1.0,1103.0,75.0,5.8,40.0,0,2,0.0,1244
402,new,1.Platinum,1.Bay Area,DevOps,p0,5,5,3,2,0.0,0,913.0,3232.0,56.6,40.0,0,2,1.0,1506
763,existing,1.Platinum,1.Bay Area,Fullstack (FE-heavy),p0,4,3,3,1,0.0,0,221.0,152.0,56.6,40.0,0,2,0.0,1785
782,new,1.Platinum,1.Bay Area,Full Stack,p0,5,6,5,0,0.0,No Nice have skill,12.0,No Nice have skill,56.6,40.0,0,0,0.0,764
906,new,1.Platinum,1.Bay Area,Full Stack,p0,5,5,2,3,79.0,0,1024.0,149.0,56.6,40.0,0,2,0.0,1539
967,new,1.Platinum,3.Top 30 GDP,Fullstack (FE-heavy),p0,5,6,4,1,0.0,148.0,81.0,11204.0,5.8,40.0,0,2,0.0,2141
1071,existing,1.Platinum,2.Rest of US,Other,p0,2,2,2,0,52.0,No Nice have skill,3999.0,No Nice have skill,11.7,,0,0,1.0,447
1079,existing,1.Platinum,1.Bay Area,Mobile,,4,3,2,2,19.0,0,442.0,5.0,11.7,40.0,0,0,1.0,460
1080,existing,1.Platinum,2.Rest of US,DevOps,p0,4,3,4,0,0.0,No Nice have skill,345.0,No Nice have skill,11.7,,0,0,0.0,530
1084,existing,1.Platinum,2.Rest of US,Backend Systems,,1,1,1,0,296.0,No Nice have skill,756.0,No Nice have skill,11.7,,0,0,1.0,997
1105,existing,1.Platinum,1.Bay Area,Mobile,p0,1,1,1,0,0.0,No Nice have skill,1088.0,No Nice have skill,11.7,,0,0,1.0,656
1108,existing,1.Platinum,2.Rest of US,Fullstack (BE-heavy),p0,2,3,2,0,2921.0,No Nice have skill,10631.0,No Nice have skill,11.7,,0,0,1.0,362
1111,existing,1.Platinum,2.Rest of US,Fullstack (FE-heavy),,2,3,2,0,49.0,No Nice have skill,1692.0,No Nice have skill,11.7,,0,0,1.0,400
1127,new,1.Platinum,1.Bay Area,Mobile,,4,3,2,2,19.0,0,442.0,5.0,56.6,40.0,0,2,1.0,283
1135,existing,1.Platinum,2.Rest of US,Mobile,p0,2,2,2,0,284.0,No Nice have skill,2078.0,No Nice have skill,11.7,,0,0,1.0,786
1137,existing,1.Platinum,1.Bay Area,Mobile,,1,2,1,0,284.0,No Nice have skill,2554.0,No Nice have skill,11.7,,0,0,1.0,905
1143,existing,1.Platinum,1.Bay Area,Mobile,,1,1,1,0,873.0,No Nice have skill,1877.0,No Nice have skill,11.7,,0,0,1.0,906
1149,existing,1.Platinum,2.Rest of US,Mobile,,1,2,1,0,284.0,No Nice have skill,7078.0,No Nice have skill,11.7,,0,0,1.0,958
1151,existing,1.Platinum,2.Rest of US,Mobile,,1,2,1,0,284.0,No Nice have skill,7078.0,No Nice have skill,11.7,,0,0,1.0,797
1161,existing,1.Platinum,2.Rest of US,DevOps,,1,1,1,0,1656.0,No Nice have skill,549.0,No Nice have skill,11.7,,0,0,1.0,250
1172,existing,1.Platinum,2.Rest of US,Web Backend,p0,2,3,2,0,2921.0,No Nice have skill,4939.0,No Nice have skill,11.7,,0,0,1.0,631
1175,existing,1.Platinum,2.Rest of US,Web Frontend,,1,2,1,0,4251.0,No Nice have skill,15643.0,No Nice have skill,11.7,,0,1,1.0,670
1183,existing,1.Platinum,2.Rest of US,Backend Systems,,1,2,1,0,9808.0,No Nice have skill,17893.0,No Nice have skill,11.7,,0,1,1.0,923
1195,existing,1.Platinum,2.Rest of US,Mobile,,1,2,1,0,284.0,No Nice have skill,2554.0,No Nice have skill,11.7,,0,0,1.0,3128
1197,existing,1.Platinum,2.Rest of US,,,2,4,2,0,439.0,No Nice have skill,7364.0,No Nice have skill,11.7,,0,0,1.0,1919
1198,existing,1.Platinum,2.Rest of US,,,2,3,1,1,9808.0,821.0,17893.0,4228.0,11.7,,0,1,1.0,1603
1199,existing,1.Platinum,2.Rest of US,,,1,0,1,0,0.0,No Nice have skill,171.0,No Nice have skill,11.7,,0,0,1.0,2769
1200,existing,1.Platinum,2.Rest of US,,,2,4,2,0,105.0,No Nice have skill,12001.0,No Nice have skill,11.7,,0,0,0.0,7168
1202,existing,1.Platinum,2.Rest of US,,,2,3,2,0,1479.0,No Nice have skill,6563.0,No Nice have skill,11.7,,0,0,1.0,5562
1204,existing,1.Platinum,2.Rest of US,,,1,1,1,0,873.0,No Nice have skill,1501.0,No Nice have skill,11.7,,0,0,1.0,1145
1205,existing,1.Platinum,2.Rest of US,,,2,4,2,0,439.0,No Nice have skill,7364.0,No Nice have skill,11.7,,0,0,1.0,1923
1206,existing,1.Platinum,2.Rest of US,,,2,4,2,0,439.0,No Nice have skill,7364.0,No Nice have skill,11.7,,0,0,1.0,1922
1207,existing,1.Platinum,2.Rest of US,,,2,1,2,0,0.0,No Nice have skill,131.0,No Nice have skill,11.7,,0,0,1.0,2770
1209,existing,1.Platinum,2.Rest of US,,,1,0,1,0,0.0,No Nice have skill,365.0,No Nice have skill,11.7,,0,0,0.0,9352
1210,existing,1.Platinum,2.Rest of US,,,2,3,2,0,1410.0,No Nice have skill,10025.0,No Nice have skill,11.7,,0,0,1.0,1995
1212,existing,1.Platinum,2.Rest of US,,,2,4,2,0,439.0,No Nice have skill,7364.0,No Nice have skill,11.7,,0,0,1.0,4290
1213,existing,1.Platinum,2.Rest of US,,,1,1,1,0,296.0,No Nice have skill,756.0,No Nice have skill,11.7,,0,0,1.0,1499
1214,existing,1.Platinum,2.Rest of US,,,2,4,2,0,439.0,No Nice have skill,7364.0,No Nice have skill,11.7,,0,0,1.0,1920
1215,existing,1.Platinum,2.Rest of US,,,3,5,2,1,1479.0,9808.0,6563.0,17893.0,11.7,,0,0,1.0,1571
1216,existing,1.Platinum,2.Rest of US,,,2,4,2,0,439.0,No Nice have skill,7364.0,No Nice have skill,11.7,,0,0,1.0,1921
1217,existing,1.Platinum,2.Rest of US,,,2,3,2,0,50.0,No Nice have skill,6864.0,No Nice have skill,11.7,,0,0,1.0,1803
1219,existing,1.Platinum,2.Rest of US,,,1,2,1,0,284.0,No Nice have skill,2554.0,No Nice have skill,11.7,,0,0,1.0,1987
1220,existing,1.Platinum,2.Rest of US,,,1,2,1,0,4251.0,No Nice have skill,15643.0,No Nice have skill,11.7,,0,1,1.0,2001
1223,existing,1.Platinum,1.Bay Area,,,1,1,1,0,873.0,No Nice have skill,1501.0,No Nice have skill,11.7,,0,0,1.0,3580
1224,existing,1.Platinum,1.Bay Area,Mobile,,1,2,1,0,284.0,No Nice have skill,2554.0,No Nice have skill,11.7,,0,0,1.0,4391
1225,existing,1.Platinum,1.Bay Area,Mobile,,1,2,1,0,284.0,No Nice have skill,2554.0,No Nice have skill,11.7,,0,0,1.0,5935
1226,existing,1.Platinum,1.Bay Area,Mobile,,2,2,2,0,0.0,No Nice have skill,61.0,No Nice have skill,11.7,,0,0,1.0,3819
1227,existing,1.Platinum,1.Bay Area,Mobile,,1,0,1,0,0.0,No Nice have skill,183.0,No Nice have skill,11.7,,0,0,1.0,6549
1228,existing,1.Platinum,1.Bay Area,,,1,2,1,0,284.0,No Nice have skill,2554.0,No Nice have skill,11.7,,0,0,1.0,1335
1229,existing,1.Platinum,1.Bay Area,,,2,2,2,0,0.0,No Nice have skill,61.0,No Nice have skill,11.7,,0,0,1.0,3753
1230,existing,1.Platinum,1.Bay Area,Mobile,,1,2,1,0,284.0,No Nice have skill,2554.0,No Nice have skill,11.7,,0,0,0.0,4720
1231,existing,1.Platinum,1.Bay Area,,,1,2,1,0,284.0,No Nice have skill,2554.0,No Nice have skill,11.7,,0,0,1.0,1559
1232,existing,1.Platinum,1.Bay Area,,,1,2,1,0,284.0,No Nice have skill,2554.0,No Nice have skill,11.7,,0,0,1.0,1556
1233,existing,1.Platinum,1.Bay Area,,,1,1,1,0,873.0,No Nice have skill,1501.0,No Nice have skill,11.7,,0,0,1.0,3466
1234,existing,1.Platinum,1.Bay Area,,,1,2,1,0,284.0,No Nice have skill,2554.0,No Nice have skill,11.7,,0,0,1.0,3531
1235,existing,1.Platinum,1.Bay Area,Mobile,,2,1,2,0,0.0,No Nice have skill,10.0,No Nice have skill,11.7,,0,0,1.0,4161
1236,existing,1.Platinum,1.Bay Area,Mobile,,2,2,2,0,0.0,No Nice have skill,184.0,No Nice have skill,11.7,,0,0,1.0,6353
1237,existing,1.Platinum,1.Bay Area,,,2,2,2,0,0.0,No Nice have skill,61.0,No Nice have skill,11.7,,0,0,1.0,3566
1238,existing,1.Platinum,1.Bay Area,Mobile,,1,2,1,0,284.0,No Nice have skill,2554.0,No Nice have skill,11.7,,0,0,1.0,6028
1239,existing,1.Platinum,1.Bay Area,,,1,2,1,0,284.0,No Nice have skill,2554.0,No Nice have skill,11.7,,0,0,1.0,1334
1240,existing,1.Platinum,1.Bay Area,Mobile,,1,2,1,0,284.0,No Nice have skill,7078.0,No Nice have skill,11.7,,0,0,1.0,5825
1241,existing,1.Platinum,1.Bay Area,Mobile,,2,2,2,0,0.0,No Nice have skill,61.0,No Nice have skill,11.7,,0,0,1.0,4123
1242,existing,1.Platinum,1.Bay Area,Mobile,,1,1,1,0,873.0,No Nice have skill,1070.0,No Nice have skill,11.7,,0,0,1.0,4592
1243,existing,1.Platinum,1.Bay Area,Mobile,,1,2,1,0,284.0,No Nice have skill,7078.0,No Nice have skill,11.7,,0,0,1.0,5824
1244,existing,1.Platinum,1.Bay Area,Mobile,,2,2,2,0,0.0,No Nice have skill,10.0,No Nice have skill,11.7,,0,0,1.0,4149
1246,existing,1.Platinum,1.Bay Area,Mobile,,2,2,2,0,0.0,No Nice have skill,61.0,No Nice have skill,11.7,,0,0,1.0,3848
1247,existing,1.Platinum,1.Bay Area,Mobile,,2,2,2,0,0.0,No Nice have skill,10.0,No Nice have skill,11.7,,0,0,1.0,4807
1248,existing,1.Platinum,1.Bay Area,,,1,2,1,0,284.0,No Nice have skill,2554.0,No Nice have skill,11.7,,0,0,1.0,2773
1249,existing,1.Platinum,1.Bay Area,,,1,1,1,0,873.0,No Nice have skill,1501.0,No Nice have skill,11.7,,0,0,1.0,3579
1250,existing,1.Platinum,1.Bay Area,,,1,1,1,0,873.0,No Nice have skill,1501.0,No Nice have skill,11.7,,0,0,1.0,3585
1251,existing,1.Platinum,1.Bay Area,,,1,1,1,0,873.0,No Nice have skill,1501.0,No Nice have skill,11.7,,0,0,1.0,1560
1252,existing,1.Platinum,1.Bay Area,Mobile,,1,1,1,0,873.0,No Nice have skill,1070.0,No Nice have skill,11.7,,0,0,1.0,4315
1253,existing,1.Platinum,1.Bay Area,Mobile,,2,2,2,0,0.0,No Nice have skill,10.0,No Nice have skill,11.7,,0,0,1.0,4806
1254,existing,1.Platinum,1.Bay Area,,,1,1,1,0,873.0,No Nice have skill,1501.0,No Nice have skill,11.7,,0,0,1.0,3464
1255,existing,1.Platinum,1.Bay Area,Mobile,,1,1,1,0,873.0,No Nice have skill,1070.0,No Nice have skill,11.7,,0,0,1.0,6667
1256,existing,1.Platinum,1.Bay Area,,,1,2,1,0,284.0,No Nice have skill,2554.0,No Nice have skill,11.7,,0,0,1.0,3467
1257,existing,1.Platinum,1.Bay Area,Mobile,,1,2,1,0,284.0,No Nice have skill,2554.0,No Nice have skill,11.7,,0,0,1.0,4034
1258,existing,1.Platinum,1.Bay Area,Mobile,,1,1,1,0,873.0,No Nice have skill,1070.0,No Nice have skill,11.7,,0,0,1.0,4314
1259,existing,1.Platinum,1.Bay Area,Mobile,,2,2,2,0,0.0,No Nice have skill,61.0,No Nice have skill,11.7,,0,0,1.0,3797
1260,existing,1.Platinum,1.Bay Area,Mobile,,1,1,1,0,873.0,No Nice have skill,1070.0,No Nice have skill,11.7,,0,0,1.0,5613
1261,existing,1.Platinum,1.Bay Area,,,1,1,1,0,873.0,No Nice have skill,1877.0,No Nice have skill,11.7,,0,0,1.0,1332
1262,existing,1.Platinum,1.Bay Area,Mobile,,1,0,1,0,0.0,No Nice have skill,260.0,No Nice have skill,11.7,,0,0,1.0,4571
1263,existing,1.Platinum,1.Bay Area,Mobile,,1,1,1,0,873.0,No Nice have skill,1070.0,No Nice have skill,11.7,,0,0,1.0,6102
1264,existing,1.Platinum,1.Bay Area,,,1,2,1,0,284.0,No Nice have skill,2554.0,No Nice have skill,11.7,,0,0,1.0,3564
1265,existing,1.Platinum,1.Bay Area,,,1,1,1,0,873.0,No Nice have skill,1501.0,No Nice have skill,11.7,,0,0,1.0,1558
1266,existing,1.Platinum,1.Bay Area,Mobile,,1,1,1,0,873.0,No Nice have skill,1070.0,No Nice have skill,11.7,,0,0,1.0,5615
1267,existing,1.Platinum,1.Bay Area,Mobile,,1,2,1,0,284.0,No Nice have skill,2554.0,No Nice have skill,11.7,,0,0,1.0,3964
1268,existing,1.Platinum,1.Bay Area,Mobile,,1,0,1,0,0.0,No Nice have skill,183.0,No Nice have skill,11.7,,0,0,1.0,6548
1269,existing,1.Platinum,1.Bay Area,,,1,2,1,0,284.0,No Nice have skill,2554.0,No Nice have skill,11.7,,0,0,1.0,1557
1270,existing,1.Platinum,1.Bay Area,Mobile,,1,2,1,0,284.0,No Nice have skill,2554.0,No Nice have skill,11.7,,0,0,1.0,3987
1271,existing,1.Platinum,1.Bay Area,,,1,1,1,0,873.0,No Nice have skill,1501.0,No Nice have skill,11.7,,0,0,1.0,1333
1273,existing,1.Platinum,1.Bay Area,Mobile,,1,1,1,0,873.0,No Nice have skill,1501.0,No Nice have skill,11.7,,0,0,1.0,3603
1274,existing,1.Platinum,1.Bay Area,,,1,2,1,0,284.0,No Nice have skill,2554.0,No Nice have skill,11.7,,0,0,1.0,3463
1275,existing,1.Platinum,1.Bay Area,,,1,2,1,0,284.0,No Nice have skill,7078.0,No Nice have skill,11.7,,0,0,1.0,2774
1276,existing,1.Platinum,1.Bay Area,,,1,1,1,0,873.0,No Nice have skill,1070.0,No Nice have skill,11.7,,0,0,1.0,3390
1277,existing,1.Platinum,1.Bay Area,,,1,1,1,0,873.0,No Nice have skill,1501.0,No Nice have skill,11.7,,0,0,1.0,1561
1833,new,1.Platinum,2.Rest of US,DevOps,p0,4,3,3,1,13.0,0,5.0,321.0,29.2,40.0,0,2,0.0,7583
1834,new,1.Platinum,2.Rest of US,Full Stack,p0,6,7,4,2,1.0,0,3.0,154.0,29.2,40.0,0,2,0.0,7584
1835,new,1.Platinum,2.Rest of US,Web Frontend,p0,4,4,3,1,0.0,0,202.0,480.0,29.2,40.0,0,2,1.0,7582
1836,new,1.Platinum,1.Bay Area,Fullstack (BE-heavy),p0,3,4,2,1,75.0,284.0,252.0,7078.0,56.6,40.0,0,0,1.0,2877
1837,existing,1.Platinum,1.Bay Area,Fullstack (BE-heavy),p0,3,4,3,0,6.0,No Nice have skill,203.0,No Nice have skill,56.6,40.0,0,0,1.0,3779
1838,new,1.Platinum,1.Bay Area,Fullstack (FE-heavy),p0,3,4,1,2,4251.0,1375.0,15643.0,6140.0,56.6,40.0,0,1,1.0,6584
1839,new,1.Platinum,1.Bay Area,Fullstack (BE-heavy),p0,2,3,1,1,3467.0,4251.0,8821.0,15643.0,56.6,40.0,0,0,1.0,7276
1840,existing,1.Platinum,1.Bay Area,Web Frontend,p0,4,4,3,1,0.0,3467.0,63.0,6024.0,56.6,40.0,0,0,1.0,8850
1841,new,1.Platinum,1.Bay Area,Fullstack (FE-heavy),p0,6,7,3,3,719.0,33.0,5264.0,662.0,56.6,40.0,0,2,0.0,6029
1842,new,1.Platinum,1.Bay Area,Fullstack (FE-heavy),p0,3,4,1,2,4251.0,1375.0,15643.0,6140.0,56.6,40.0,0,1,1.0,6585
1843,existing,1.Platinum,1.Bay Area,Fullstack (BE-heavy),p0,6,7,3,3,257.0,45.0,2592.0,842.0,56.6,40.0,0,2,1.0,8250
1844,existing,1.Platinum,1.Bay Area,Fullstack (FE-heavy),p0,4,4,2,2,1410.0,0,10025.0,787.0,56.6,40.0,0,2,0.0,9127
1845,existing,1.Platinum,1.Bay Area,Web Frontend,p0,4,4,3,1,0.0,3467.0,63.0,6024.0,56.6,40.0,0,0,1.0,8815
1846,existing,1.Platinum,1.Bay Area,Data Engineering,,2,2,1,1,883.0,4228.0,9383.0,13071.0,56.6,40.0,0,0,0.0,9178
1847,new,1.Platinum,1.Bay Area,Fullstack (BE-heavy),p0,6,7,3,3,257.0,45.0,1946.0,842.0,56.6,40.0,0,2,0.0,6030
1848,existing,1.Platinum,1.Bay Area,Web Frontend,p0,4,4,3,1,0.0,3467.0,63.0,6024.0,56.6,40.0,0,0,0.0,7757
1849,new,1.Platinum,1.Bay Area,Full Stack,p0,6,5,4,2,0.0,0,14.0,1385.0,56.6,40.0,0,2,1.0,5098
1850,new,1.Platinum,1.Bay Area,Full Stack,p0,8,7,4,4,0.0,0,14.0,10.0,56.6,40.0,0,2,0.0,5669
1851,new,1.Platinum,1.Bay Area,UI/UX Developer,p0,8,7,6,2,0.0,0,328.0,319.0,56.6,40.0,0,2,1.0,5279
1852,new,1.Platinum,2.Rest of US,Data Engineering,p0,5,5,3,2,0.0,213.0,187.0,94.0,29.2,40.0,0,2,1.0,3194
1853,new,1.Platinum,2.Rest of US,Fullstack (FE-heavy),p0,10,11,4,6,31.0,0,4519.0,9.0,29.2,40.0,0,2,1.0,2783
1854,new,1.Platinum,2.Rest of US,Web Frontend,p0,7,10,2,5,33.0,1.0,9581.0,22.0,29.2,40.0,0,2,1.0,3411
1856,new,1.Platinum,2.Rest of US,Web Frontend,p0,6,5,3,3,0.0,0,935.0,793.0,29.2,40.0,0,2,0.0,4376
1857,existing,1.Platinum,1.Bay Area,QA,p0,6,1,4,2,0.0,0,1.0,51.0,56.6,40.0,0,2,0.0,8578
1858,existing,1.Platinum,1.Bay Area,Mobile,p0,1,2,1,0,284.0,No Nice have skill,2554.0,No Nice have skill,56.6,40.0,0,0,1.0,8694
1859,existing,1.Platinum,1.Bay Area,QA,p0,4,1,4,0,0.0,No Nice have skill,1.0,No Nice have skill,56.6,40.0,0,0,1.0,9317
1860,new,1.Platinum,1.Bay Area,Mobile,p0,9,5,3,6,873.0,0,497.0,0,56.6,40.0,0,2,0.0,7434
1861,existing,1.Platinum,1.Bay Area,Mobile,p0,2,2,2,0,284.0,No Nice have skill,2078.0,No Nice have skill,56.6,40.0,0,0,1.0,8966
1862,new,1.Platinum,1.Bay Area,Mobile,p0,4,4,1,3,873.0,1.0,1501.0,218.0,56.6,40.0,0,2,1.0,8378
1863,new,1.Platinum,1.Bay Area,Mobile,p0,1,2,1,0,284.0,No Nice have skill,2554.0,No Nice have skill,56.6,40.0,0,0,0.0,7435
1864,new,1.Platinum,1.Bay Area,Mobile,p0,7,8,3,4,10.0,0,174.0,0,56.6,40.0,0,2,0.0,7436
1865,existing,1.Platinum,1.Bay Area,QA,p0,5,1,4,1,0.0,0,1.0,0,56.6,40.0,0,2,1.0,9371
1866,existing,1.Platinum,1.Bay Area,Mobile,p0,8,4,3,5,873.0,0,497.0,0,56.6,40.0,0,2,1.0,9216
1867,new,1.Platinum,1.Bay Area,Web Frontend,p0,5,6,4,1,78.0,645.0,1432.0,1558.0,56.6,40.0,0,2,0.0,7832
1868,new,1.Platinum,1.Bay Area,DevOps,p0,2,3,2,0,0.0,No Nice have skill,3621.0,No Nice have skill,56.6,40.0,0,0,0.0,7833
1869,new,1.Platinum,1.Bay Area,Backend Systems,p0,5,2,4,1,0.0,0,4.0,368.0,56.6,40.0,0,2,0.0,6960
1870,new,1.Platinum,1.Bay Area,Data Engineering,,12,9,8,4,0.0,0,0.0,35.0,56.6,40.0,0,2,0.0,8581
1871,new,1.Platinum,1.Bay Area,DevOps,p0,5,6,3,2,29.0,0,563.0,441.0,56.6,40.0,0,2,0.0,6057
1872,new,1.Platinum,1.Bay Area,Fullstack (FE-heavy),p0,2,3,1,1,4251.0,1442.0,15643.0,4615.0,56.6,40.0,0,1,0.0,6517
1873,new,1.Platinum,1.Bay Area,Full Stack,p0,2,1,1,1,64.0,0,377.0,235.0,56.6,40.0,0,0,0.0,6516
1874,new,1.Platinum,2.Rest of US,Data Engineering,p0,5,3,2,3,2921.0,0,10631.0,2.0,29.2,40.0,0,2,0.0,6275
1875,new,1.Platinum,2.Rest of US,DevOps,p0,7,3,6,1,0.0,0,0.0,311.0,29.2,40.0,0,2,0.0,7228
1876,new,1.Platinum,2.Rest of US,DevOps,p0,6,4,6,0,0.0,No Nice have skill,11.0,No Nice have skill,29.2,40.0,0,0,0.0,7231
1877,new,1.Platinum,2.Rest of US,Fullstack (BE-heavy),p0,6,5,3,3,0.0,0,253.0,643.0,29.2,40.0,0,2,0.0,7227
1878,new,1.Platinum,1.Bay Area,Data Engineering,p0,3,2,3,0,0.0,No Nice have skill,45.0,No Nice have skill,56.6,40.0,0,0,1.0,8056
1879,new,1.Platinum,1.Bay Area,Data Engineering,p0,4,1,3,1,0.0,6922.0,343.0,2547.0,56.6,40.0,0,0,0.0,7010
1880,new,1.Platinum,1.Bay Area,Data Engineering,p0,4,2,3,1,0.0,6922.0,45.0,2547.0,56.6,40.0,0,0,0.0,7009
1881,new,1.Platinum,1.Bay Area,Web Frontend,,4,6,2,2,105.0,1278.0,12001.0,3468.0,56.6,40.0,0,2,0.0,7485
1882,existing,1.Platinum,1.Bay Area,Backend Systems,p0,2,2,2,0,1224.0,No Nice have skill,5352.0,No Nice have skill,56.6,40.0,0,0,0.0,8837
1883,existing,1.Platinum,1.Bay Area,Data Engineering,p0,4,2,2,2,0.0,341.0,63.0,698.0,56.6,40.0,0,0,1.0,8983
1884,new,1.Platinum,1.Bay Area,Data Engineering,p0,4,2,2,2,0.0,341.0,63.0,698.0,56.6,40.0,0,0,0.0,7487
1885,new,1.Platinum,1.Bay Area,Mobile,p0,1,2,1,0,284.0,No Nice have skill,2554.0,No Nice have skill,56.6,40.0,0,0,1.0,7953
1886,new,1.Platinum,1.Bay Area,Mobile,p0,1,1,1,0,873.0,No Nice have skill,1501.0,No Nice have skill,56.6,40.0,0,0,1.0,7859
1887,new,1.Platinum,1.Bay Area,Full Stack,p0,3,3,3,0,0.0,No Nice have skill,2130.0,No Nice have skill,56.6,40.0,0,0,1.0,7791
1888,new,1.Platinum,1.Bay Area,Mobile,p0,1,2,1,0,284.0,No Nice have skill,7078.0,No Nice have skill,56.6,40.0,0,0,0.0,7484
1889,new,1.Platinum,1.Bay Area,Data Engineering,p0,4,2,2,2,0.0,341.0,63.0,129.0,56.6,40.0,0,2,1.0,8466
1890,new,1.Platinum,1.Bay Area,Mobile,p0,1,1,1,0,873.0,No Nice have skill,1501.0,No Nice have skill,56.6,40.0,0,0,1.0,7790
1891,new,1.Platinum,1.Bay Area,Data Engineering,p0,4,2,4,0,0.0,No Nice have skill,21.0,No Nice have skill,56.6,40.0,0,0,0.0,7852
1892,existing,1.Platinum,1.Bay Area,Backend Systems,p0,2,2,2,0,1224.0,No Nice have skill,5352.0,No Nice have skill,56.6,40.0,0,0,1.0,9028
1893,new,1.Platinum,1.Bay Area,Full Stack,p0,5,5,4,1,63.0,5048.0,1031.0,15171.0,56.6,40.0,0,2,0.0,7851
1894,new,1.Platinum,1.Bay Area,Mobile,p0,2,1,2,0,873.0,No Nice have skill,581.0,No Nice have skill,56.6,40.0,0,0,0.0,7483
1895,new,1.Platinum,1.Bay Area,Full Stack,p0,4,6,4,0,2.0,No Nice have skill,1099.0,No Nice have skill,56.6,40.0,0,0,1.0,7486
1917,new,1.Platinum,2.Rest of US,Backend Systems,,3,1,1,2,645.0,0,1558.0,2.0,29.2,,0,2,0.0,6706
1918,new,1.Platinum,2.Rest of US,Web Frontend,p1,2,3,2,0,321.0,No Nice have skill,4523.0,No Nice have skill,29.2,40.0,0,0,1.0,2449
1919,existing,1.Platinum,2.Rest of US,Web Backend,p0,4,2,1,3,645.0,0,1558.0,337.0,29.2,40.0,0,2,0.0,9353
1920,new,1.Platinum,2.Rest of US,Fullstack (BE-heavy),p0,4,3,3,1,1.0,0,36.0,32.0,29.2,40.0,0,2,0.0,6651
1921,new,1.Platinum,2.Rest of US,Web Backend,p0,4,2,1,3,645.0,0,1558.0,337.0,29.2,40.0,0,2,1.0,6428
1923,existing,1.Platinum,2.Rest of US,UI/UX Developer,,3,1,3,0,0.0,No Nice have skill,35.0,No Nice have skill,29.2,40.0,0,0,0.0,8091
1924,existing,1.Platinum,2.Rest of US,Fullstack (BE-heavy),p0,2,1,2,0,0.0,No Nice have skill,8.0,No Nice have skill,29.2,40.0,0,0,1.0,7620
1925,existing,1.Platinum,2.Rest of US,Cloud - Solutions Architecture,,2,1,2,0,0.0,No Nice have skill,717.0,No Nice have skill,29.2,40.0,0,0,0.0,8980
