,client_type,client_category,region,role_type,priority,num_skills,num_mcqs,num_must_have_skills,num_nice_have_skills,n_devs_must_have_mcq,n_devs_nice_have_mcq,n_devs_must_have_self,n_devs_nice_have_self,job_value,customer_weekly_hour_engagement,is_deleted,cluster,target,job_id,developer_chosen
214,new,5.Unknown,1.Bay Area,Fullstack (FE-heavy),,2,3,2,0,1410.0,No Nice have skill,10025.0,No Nice have skill,,,0,3,0.0,889,0.0
219,new,4.Bronze,1.Bay Area,Web Frontend,p1,4,5,4,0,72.0,No Nice have skill,2001.0,No Nice have skill,11.5,40.0,0,3,0.0,1045,0.0
225,new,5.Unknown,2.Rest of US,Machine Learning,p0,1,1,1,0,1620.0,No Nice have skill,6514.0,No Nice have skill,,40.0,0,3,0.0,423,0.0
226,new,5.Unknown,2.Rest of US,Fullstack (BE-heavy),p1,3,5,2,1,439.0,821.0,7364.0,4228.0,,40.0,0,3,0.0,482,0.0
227,new,2.Gold,1.Bay Area,Data Engineering,p0,2,2,2,0,49.0,No Nice have skill,549.0,No Nice have skill,22.2,40.0,0,2,0.0,640,0.0
228,new,4.Bronze,3.Top 30 GDP,Fullstack (FE-heavy),p1,7,6,2,5,75.0,0,518.0,3.0,1.5,40.0,0,4,0.0,669,0.0
229,existing,3.Silver,2.Rest of US,Web Backend,p0,4,3,4,0,0.0,No Nice have skill,75.0,No Nice have skill,13.0,40.0,0,5,1.0,1004,1.0
230,existing,4.Bronze,2.Rest of US,Web Backend,,1,1,1,0,752.0,No Nice have skill,1103.0,No Nice have skill,3.9,40.0,0,5,1.0,1031,1.0
232,new,5.Unknown,1.Bay Area,Fullstack (BE-heavy),p0,3,4,3,0,719.0,No Nice have skill,5264.0,No Nice have skill,,50.0,0,3,0.0,381,0.0
233,new,5.Unknown,2.Rest of US,Fullstack (FE-heavy),,3,4,2,1,1410.0,148.0,10025.0,11204.0,,40.0,0,4,0.0,564,0.0
234,new,5.Unknown,2.Rest of US,Web Backend,,5,7,2,3,439.0,1.0,7364.0,415.0,,20.0,0,4,0.0,950,0.0
242,new,5.Unknown,2.Rest of US,Fullstack (FE-heavy),p1,3,4,2,1,238.0,560.0,5034.0,2959.0,,40.0,0,4,0.0,546,0.0
243,new,5.Unknown,2.Rest of US,Mobile,p1,1,1,1,0,873.0,No Nice have skill,1877.0,No Nice have skill,,40.0,0,3,0.0,744,0.0
244,new,5.Unknown,3.Top 30 GDP,Web Frontend,p1,1,2,1,0,4251.0,No Nice have skill,15643.0,No Nice have skill,,,0,0,0.0,903,0.0
248,new,2.Gold,1.Bay Area,Web Backend,,3,3,1,2,752.0,27.0,1103.0,2563.0,22.2,40.0,0,2,1.0,331,1.0
249,new,5.Unknown,2.Rest of US,DevOps,p1,4,6,2,2,0.0,541.0,3621.0,6042.0,,20.0,0,4,0.0,492,0.0
251,new,2.Gold,1.Bay Area,Fullstack (FE-heavy),,2,3,2,0,1410.0,No Nice have skill,10025.0,No Nice have skill,11.5,40.0,0,2,0.0,1089,0.0
253,new,4.Bronze,2.Rest of US,Fullstack (BE-heavy),p1,3,1,2,1,0.0,3467.0,169.0,8821.0,7.4,40.0,0,3,0.0,988,0.0
256,new,4.Bronze,1.Bay Area,Fullstack (FE-heavy),p0,3,4,1,2,4251.0,424.0,15643.0,6139.0,11.5,40.0,0,0,1.0,924,1.0
257,new,3.Silver,2.Rest of US,Web Backend,,1,1,1,0,5048.0,No Nice have skill,15171.0,No Nice have skill,13.0,40.0,0,0,0.0,1043,0.0
262,new,4.Bronze,,Web Backend,p0,3,3,3,0,0.0,No Nice have skill,499.0,No Nice have skill,7.4,40.0,0,3,1.0,246,1.0
265,new,2.Gold,2.Rest of US,Fullstack (FE-heavy),p0,5,7,1,4,4251.0,0,15643.0,3.0,13.0,40.0,0,0,0.0,954,0.0
266,new,2.Gold,1.Bay Area,Web Frontend,,2,3,1,1,4251.0,3467.0,15643.0,8821.0,22.2,,0,0,0.0,1019,0.0
267,new,2.Gold,2.Rest of US,Web Frontend,,1,2,1,0,4251.0,No Nice have skill,15643.0,No Nice have skill,23.4,40.0,0,0,1.0,1067,1.0
271,new,2.Gold,2.Rest of US,Web Backend,,3,3,1,2,3545.0,168.0,9460.0,2905.0,23.4,40.0,0,0,0.0,1017,0.0
272,new,5.Unknown,2.Rest of US,,,2,3,2,0,79.0,No Nice have skill,1024.0,No Nice have skill,,,0,3,1.0,99,1.0
278,new,2.Gold,1.Bay Area,Web Frontend,p0,3,4,3,0,167.0,No Nice have skill,1415.0,No Nice have skill,22.2,,0,2,1.0,503,1.0
279,new,5.Unknown,2.Rest of US,Fullstack (FE-heavy),p0,2,3,2,0,769.0,No Nice have skill,2672.0,No Nice have skill,,40.0,0,3,0.0,753,0.0
281,new,2.Gold,2.Rest of US,Fullstack (BE-heavy),p0,3,2,1,2,83.0,0,772.0,324.0,23.4,40.0,0,2,1.0,1066,1.0
282,existing,4.Bronze,2.Rest of US,Fullstack (BE-heavy),p0,4,3,3,1,257.0,0,2592.0,1887.0,3.9,40.0,0,5,1.0,1111,1.0
285,existing,4.Bronze,2.Rest of US,Fullstack (BE-heavy),p0,5,5,3,2,146.0,0,2223.0,1096.0,3.9,40.0,0,4,1.0,442,1.0
286,new,5.Unknown,2.Rest of US,Other,p0,2,0,1,1,0.0,0,1030.0,355.0,,40.0,0,4,1.0,749,1.0
287,new,5.Unknown,3.Top 30 GDP,Fullstack (FE-heavy),,3,2,2,1,0.0,2342.0,308.0,5158.0,,40.0,0,3,0.0,437,0.0
288,new,5.Unknown,3.Top 30 GDP,Mobile,p1,3,3,3,0,81.0,No Nice have skill,1616.0,No Nice have skill,,40.0,0,3,0.0,754,0.0
289,new,5.Unknown,2.Rest of US,Machine Learning,p0,1,1,1,0,1620.0,No Nice have skill,6514.0,No Nice have skill,,40.0,0,3,0.0,877,0.0
290,new,2.Gold,2.Rest of US,Data Engineering,,3,2,3,0,0.0,No Nice have skill,607.0,No Nice have skill,23.4,,0,2,0.0,1072,0.0
291,new,5.Unknown,,Fullstack (FE-heavy),,6,7,2,4,1410.0,0,10025.0,3.0,,20.0,0,4,0.0,420,0.0
292,new,4.Bronze,1.Bay Area,Web Backend,p1,3,3,3,0,0.0,No Nice have skill,580.0,No Nice have skill,11.5,40.0,0,3,0.0,849,0.0
293,new,4.Bronze,3.Top 30 GDP,Web Backend,p1,5,5,5,0,0.0,No Nice have skill,185.0,No Nice have skill,1.5,,0,3,0.0,878,0.0
294,new,3.Silver,2.Rest of US,Web Frontend,p1,5,3,5,0,0.0,No Nice have skill,2.0,No Nice have skill,13.0,,0,3,1.0,106,1.0
296,new,5.Unknown,2.Rest of US,Fullstack (BE-heavy),,5,7,3,2,143.0,276.0,2718.0,1620.0,,,0,4,0.0,391,0.0
297,new,5.Unknown,,Fullstack (BE-heavy),p1,2,3,2,0,1410.0,No Nice have skill,10025.0,No Nice have skill,,40.0,0,3,0.0,465,0.0
298,new,5.Unknown,2.Rest of US,Fullstack (FE-heavy),,6,7,3,3,141.0,186.0,10156.0,2175.0,,40.0,0,4,0.0,565,0.0
299,new,5.Unknown,2.Rest of US,Fullstack (BE-heavy),,2,2,2,0,878.0,No Nice have skill,6663.0,No Nice have skill,,,0,3,0.0,606,0.0
300,new,2.Gold,2.Rest of US,Fullstack (FE-heavy),p0,3,3,2,1,0.0,645.0,0.0,1558.0,22.2,40.0,0,2,1.0,665,1.0
301,new,2.Gold,4.Others,Web Backend,p0,1,1,1,0,5048.0,No Nice have skill,15171.0,No Nice have skill,1.6,40.0,0,0,0.0,1016,0.0
304,new,4.Bronze,2.Rest of US,Fullstack (BE-heavy),p1,5,8,2,3,439.0,0,7364.0,1290.0,14.7,40.0,0,4,0.0,926,0.0
306,new,4.Bronze,,Web Frontend,p0,1,0,1,0,0.0,No Nice have skill,511.0,No Nice have skill,7.4,40.0,0,3,1.0,247,1.0
307,new,4.Bronze,2.Rest of US,Web Backend,p0,4,1,1,3,0.0,0,630.0,3.0,7.4,40.0,0,4,1.0,419,1.0
308,existing,4.Bronze,2.Rest of US,Data Engineering,,1,1,1,0,1164.0,No Nice have skill,315.0,No Nice have skill,56.6,20.0,0,2,0.0,628,0.0
309,new,5.Unknown,1.Bay Area,Web Backend,p1,1,2,1,0,9808.0,No Nice have skill,17893.0,No Nice have skill,,,0,0,1.0,682,1.0
311,existing,3.Silver,2.Rest of US,Web Backend,p0,4,4,2,2,541.0,0,6042.0,770.0,6.5,40.0,0,5,1.0,717,1.0
312,new,4.Bronze,3.Top 30 GDP,Fullstack (FE-heavy),p1,4,6,2,2,1479.0,50.0,6563.0,6864.0,1.5,40.0,0,4,0.0,848,0.0
315,new,4.Bronze,2.Rest of US,Web Backend,p1,3,4,3,0,9.0,No Nice have skill,923.0,No Nice have skill,7.4,40.0,0,3,0.0,705,0.0
316,existing,4.Bronze,2.Rest of US,Other,,1,0,1,0,0.0,No Nice have skill,76.0,No Nice have skill,3.9,20.0,0,5,1.0,1032,1.0
320,existing,4.Bronze,3.Top 30 GDP,Fullstack (FE-heavy),p1,3,5,2,1,439.0,821.0,7364.0,4228.0,2.0,40.0,0,5,0.0,186,0.0
325,new,5.Unknown,2.Rest of US,Mobile,p2,2,1,2,0,0.0,No Nice have skill,524.0,No Nice have skill,,20.0,0,3,0.0,545,0.0
326,new,5.Unknown,1.Bay Area,Fullstack (BE-heavy),,4,6,3,1,143.0,148.0,2718.0,11204.0,,,0,4,0.0,847,0.0
329,new,5.Unknown,2.Rest of US,Web Backend,p1,4,6,4,0,22.0,No Nice have skill,1145.0,No Nice have skill,,40.0,0,3,1.0,850,1.0
330,new,3.Silver,2.Rest of US,Fullstack (FE-heavy),p1,6,8,1,5,0.0,9.0,164.0,520.0,13.0,40.0,0,4,1.0,133,1.0
331,new,5.Unknown,2.Rest of US,Other,p1,3,1,3,0,0.0,No Nice have skill,33.0,No Nice have skill,,20.0,0,3,0.0,547,0.0
332,new,4.Bronze,2.Rest of US,Fullstack (FE-heavy),,4,5,2,2,1410.0,645.0,10025.0,3949.0,7.4,40.0,0,4,0.0,1039,0.0
333,new,2.Gold,2.Rest of US,Fullstack (FE-heavy),p1,1,1,1,0,1442.0,No Nice have skill,4615.0,No Nice have skill,23.4,40.0,0,2,0.0,1100,0.0
334,new,4.Bronze,2.Rest of US,Fullstack (BE-heavy),p1,7,8,2,5,579.0,0,1081.0,2.0,7.4,20.0,0,1,1.0,222,1.0
335,existing,4.Bronze,3.Top 30 GDP,Machine Learning,p0,5,4,1,4,1620.0,0,6514.0,15.0,2.0,40.0,0,4,0.0,493,0.0
336,new,3.Silver,1.Bay Area,Web Backend,p0,4,4,1,3,645.0,12.0,1558.0,1098.0,14.7,40.0,0,4,0.0,662,0.0
338,new,5.Unknown,2.Rest of US,Web Backend,p1,2,0,2,0,0.0,No Nice have skill,74.0,No Nice have skill,,40.0,0,3,0.0,619,0.0
339,new,5.Unknown,1.Bay Area,Mobile,p1,1,1,1,0,1442.0,No Nice have skill,4615.0,No Nice have skill,,40.0,0,3,0.0,641,0.0
340,existing,4.Bronze,2.Rest of US,Fullstack (BE-heavy),,13,10,7,6,0.0,0,8.0,0,3.9,40.0,0,1,0.0,659,0.0
342,new,4.Bronze,1.Bay Area,Web Frontend,p1,2,3,2,0,12.0,No Nice have skill,460.0,No Nice have skill,11.5,40.0,0,3,0.0,1149,0.0
343,new,5.Unknown,4.Others,Machine Learning,p1,2,1,2,0,0.0,No Nice have skill,995.0,No Nice have skill,,40.0,0,3,0.0,658,0.0
344,new,5.Unknown,2.Rest of US,Web Backend,,2,1,2,0,3545.0,No Nice have skill,304.0,No Nice have skill,,20.0,0,3,0.0,719,0.0
345,new,3.Silver,1.Bay Area,Web Frontend,p1,2,0,2,0,0.0,No Nice have skill,3971.0,No Nice have skill,14.7,40.0,0,3,1.0,845,1.0
350,new,2.Gold,2.Rest of US,Fullstack (BE-heavy),p0,3,2,1,2,83.0,0,772.0,1369.0,,,0,2,0.0,724,0.0
353,existing,4.Bronze,2.Rest of US,Mobile,p1,1,1,1,0,873.0,No Nice have skill,1501.0,No Nice have skill,3.9,,0,5,1.0,129,1.0
354,new,4.Bronze,2.Rest of US,Web Backend,p1,4,3,3,1,0.0,148.0,55.0,11204.0,7.4,40.0,0,4,0.0,704,0.0
355,new,5.Unknown,1.Bay Area,Fullstack (FE-heavy),,4,4,1,3,0.0,1.0,555.0,13.0,,40.0,0,4,0.0,951,0.0
356,new,4.Bronze,2.Rest of US,Web Frontend,,2,3,1,1,4251.0,4228.0,15643.0,13071.0,7.4,40.0,0,0,0.0,1101,0.0
358,existing,4.Bronze,2.Rest of US,Fullstack (BE-heavy),,3,4,3,0,146.0,No Nice have skill,2223.0,No Nice have skill,7.4,,0,5,1.0,359,1.0
364,existing,3.Silver,1.Bay Area,Mobile,p1,4,2,3,1,284.0,0,253.0,513.0,11.5,40.0,0,5,0.0,3152,0.0
365,existing,3.Silver,1.Bay Area,Mobile,p1,4,2,3,1,0.0,0,27.0,833.0,11.5,40.0,0,5,1.0,3149,1.0
366,existing,3.Silver,1.Bay Area,Web Frontend,,1,2,1,0,4251.0,No Nice have skill,15643.0,No Nice have skill,14.7,40.0,0,0,0.0,738,0.0
367,new,5.Unknown,2.Rest of US,Data Engineering,p1,3,3,2,1,181.0,0,4918.0,1064.0,,40.0,0,4,0.0,703,0.0
368,new,4.Bronze,2.Rest of US,Web Backend,p2,1,2,0,1,0.0,9808.0,0.0,17893.0,7.4,40.0,0,3,0.0,1250,0.0
369,existing,2.Gold,2.Rest of US,Web Frontend,p0,3,4,1,2,4251.0,132.0,15643.0,1712.0,11.7,40.0,0,0,0.0,1155,0.0
370,existing,2.Gold,2.Rest of US,Fullstack (BE-heavy),p0,1,1,1,0,4228.0,No Nice have skill,13071.0,No Nice have skill,11.7,40.0,0,0,0.0,1952,0.0
371,existing,2.Gold,2.Rest of US,Fullstack (BE-heavy),p0,2,3,1,1,4228.0,4251.0,13071.0,15643.0,11.7,40.0,0,0,1.0,1323,1.0
373,existing,2.Gold,2.Rest of US,Web Backend,p0,3,3,3,0,459.0,No Nice have skill,3684.0,No Nice have skill,11.7,40.0,0,5,1.0,1156,1.0
375,new,3.Silver,1.Bay Area,Fullstack (BE-heavy),p1,2,3,1,1,9808.0,1864.0,17893.0,6410.0,14.7,40.0,0,0,0.0,1131,0.0
376,existing,3.Silver,1.Bay Area,Web Frontend,p0,1,0,1,0,0.0,No Nice have skill,8081.0,No Nice have skill,14.7,40.0,0,5,1.0,1408,1.0
377,existing,4.Bronze,1.Bay Area,Fullstack (FE-heavy),,3,4,1,2,4251.0,424.0,15643.0,6139.0,5.85,40.0,0,0,0.0,1162,0.0
378,existing,4.Bronze,1.Bay Area,Fullstack (FE-heavy),p1,2,3,2,0,1410.0,No Nice have skill,10025.0,No Nice have skill,11.5,40.0,0,5,0.0,1763,0.0
379,new,2.Gold,,,,1,1,1,0,873.0,No Nice have skill,1501.0,No Nice have skill,11.7,,0,2,1.0,1107,1.0
380,existing,2.Gold,,Web Frontend,p0,1,2,1,0,4251.0,No Nice have skill,15643.0,No Nice have skill,23.4,40.0,0,0,0.0,1252,0.0
381,new,4.Bronze,1.Bay Area,Fullstack (FE-heavy),p0,4,5,1,3,4251.0,0,15643.0,1.0,11.5,40.0,0,0,0.0,1154,0.0
383,new,3.Silver,2.Rest of US,Fullstack (FE-heavy),,3,4,2,1,1410.0,18.0,10025.0,77.0,14.7,40.0,0,2,0.0,1185,0.0
384,new,3.Silver,2.Rest of US,Fullstack (FE-heavy),,3,4,2,1,1410.0,18.0,10025.0,77.0,14.7,40.0,0,2,0.0,1184,0.0
385,new,3.Silver,2.Rest of US,Fullstack (FE-heavy),,3,4,2,1,1410.0,18.0,10025.0,77.0,14.7,40.0,0,2,0.0,1182,0.0
386,new,3.Silver,2.Rest of US,Fullstack (FE-heavy),p0,3,3,3,0,0.0,No Nice have skill,36.0,No Nice have skill,14.7,40.0,0,3,0.0,1192,0.0
388,existing,2.Gold,2.Rest of US,Fullstack (FE-heavy),p0,5,5,3,2,0.0,1.0,2663.0,291.0,23.4,25.0,0,2,0.0,1387,0.0
389,new,2.Gold,2.Rest of US,Fullstack (FE-heavy),p0,5,5,3,2,0.0,1.0,2663.0,291.0,23.4,25.0,0,2,1.0,1207,1.0
391,new,3.Silver,2.Rest of US,Web Frontend,p0,1,2,1,0,436.0,No Nice have skill,21126.0,No Nice have skill,14.7,40.0,0,0,0.0,1236,0.0
392,new,3.Silver,1.Bay Area,Fullstack (BE-heavy),p0,4,4,1,3,0.0,43.0,164.0,825.0,14.7,40.0,0,2,0.0,1251,0.0
393,new,2.Gold,2.Rest of US,Web Backend,p1,1,1,1,0,645.0,No Nice have skill,1558.0,No Nice have skill,23.4,40.0,0,2,0.0,1255,0.0
394,new,2.Gold,2.Rest of US,Web Frontend,p1,1,2,1,0,4251.0,No Nice have skill,15643.0,No Nice have skill,23.4,40.0,0,0,0.0,1256,0.0
395,new,4.Bronze,3.Top 30 GDP,Full Stack,p1,1,2,1,0,2070.0,No Nice have skill,2286.0,No Nice have skill,1.5,40.0,0,3,0.0,1270,0.0
396,new,3.Silver,2.Rest of US,Web Backend,p0,1,1,1,0,4228.0,No Nice have skill,13071.0,No Nice have skill,13.0,40.0,0,0,0.0,1306,0.0
397,new,3.Silver,2.Rest of US,Web Backend,p0,1,1,1,0,3467.0,No Nice have skill,8821.0,No Nice have skill,13.0,40.0,0,0,0.0,1307,0.0
398,new,3.Silver,2.Rest of US,Web Backend,p0,1,0,1,0,0.0,No Nice have skill,76.0,No Nice have skill,13.0,40.0,0,3,0.0,1275,0.0
399,new,2.Gold,1.Bay Area,Web Backend,p1,3,3,3,0,0.0,No Nice have skill,105.0,No Nice have skill,22.2,40.0,0,2,0.0,1462,0.0
400,new,4.Bronze,2.Rest of US,Web Backend,p1,1,1,1,0,1480.0,No Nice have skill,3807.0,No Nice have skill,7.4,40.0,0,3,0.0,1481,0.0
404,new,4.Bronze,2.Rest of US,,p1,2,2,1,1,1442.0,645.0,4615.0,1558.0,7.4,40.0,0,4,0.0,1521,0.0
405,new,2.Gold,1.Bay Area,Full Stack,p0,5,6,2,3,1410.0,48.0,10025.0,596.0,22.2,40.0,0,2,0.0,1505,0.0
408,new,3.Silver,3.Top 30 GDP,Web Backend,p1,3,3,3,0,3.0,No Nice have skill,34.0,No Nice have skill,2.6,40.0,0,3,0.0,1599,0.0
409,new,3.Silver,2.Rest of US,Web Backend,p0,2,3,2,0,673.0,No Nice have skill,4165.0,No Nice have skill,13.0,40.0,0,3,1.0,1645,1.0
411,new,3.Silver,2.Rest of US,Web Frontend,p0,2,3,1,1,4251.0,560.0,15643.0,2959.0,13.0,40.0,0,0,0.0,1643,0.0
412,existing,3.Silver,2.Rest of US,Fullstack (BE-heavy),p0,6,5,2,4,673.0,0,4165.0,64.0,6.5,40.0,0,5,0.0,1967,0.0
415,new,3.Silver,2.Rest of US,Web Frontend,p1,6,7,2,4,292.0,0,2582.0,22.0,7.4,40.0,0,4,1.0,1701,1.0
416,new,3.Silver,2.Rest of US,Web Backend,p1,3,4,2,1,16.0,4251.0,5163.0,15643.0,7.4,40.0,0,4,0.0,1702,0.0
417,new,3.Silver,2.Rest of US,Web Backend,p0,1,2,1,0,9808.0,No Nice have skill,17893.0,No Nice have skill,13.0,40.0,0,0,0.0,1703,0.0
418,new,3.Silver,2.Rest of US,Mobile,p0,1,1,1,0,873.0,No Nice have skill,1501.0,No Nice have skill,13.0,40.0,0,3,0.0,1721,0.0
419,new,3.Silver,2.Rest of US,Web Frontend,p0,2,4,1,1,4251.0,9808.0,15643.0,17893.0,13.0,40.0,0,0,0.0,1720,0.0
420,new,4.Bronze,2.Rest of US,,p1,3,4,3,0,18.0,No Nice have skill,1810.0,No Nice have skill,7.4,40.0,0,3,0.0,1723,0.0
422,new,2.Gold,3.Top 30 GDP,DevOps,p0,1,2,1,0,0.0,No Nice have skill,5340.0,No Nice have skill,4.7,40.0,0,3,0.0,1755,0.0
423,new,3.Silver,2.Rest of US,DevOps,p0,1,2,1,0,0.0,No Nice have skill,5340.0,No Nice have skill,13.0,40.0,0,3,0.0,1819,0.0
