,must_have_skill_ids_tuple,must_have_skill_names,job_id,passed_must_have_skill total_devs,passed_must_have_skill Elite,passed_must_have_skill High Quality,passed_must_have_skill Average,passed_must_have_skill Low Quality,passed_must_have_skill Low Experience
84,"(107, 120, 1855)",['Angular 2+' 'CSS' 'Node.js'],1,17.0,12.0,5.0,,,
85,"(107, 120, 2031)",['CSS' 'Node.js' 'React'],4,16.0,16.0,,,,
86,"(107, 120, 284, 387)",['CSS' 'HTML' 'Node.js' 'jQuery'],1,0.0,,,,,
87,"(107, 120, 314)",['CSS' 'JavaScript Frameworks' 'Node.js'],1,0.0,,,,,
88,"(107, 120, 387)",['CSS' 'HTML' 'Node.js'],2,55.0,38.0,13.0,,,4.0
89,"(107, 120, 387, 2031)",['CSS' 'HTML' 'Node.js' 'React'],3,16.0,16.0,,,,
90,"(107, 120, 406, 2031)",['CSS' 'Next.js' 'Node.js' 'React'],1,5.0,5.0,,,,
91,"(107, 121, 122, 308, 437, 598)",['Bootstrap' 'CSS' 'HTML5' 'Javascript ES6' 'Redux' 'Vue.js'],1,0.0,,,,,
92,"(107, 121, 158, 320, 387, 2031)",['CSS' 'Chrome Extensions' 'HTML' 'React' 'Redux' 'Typescript'],1,0.0,,,,,
93,"(107, 121, 158, 387, 406, 2031)",['CSS' 'HTML' 'Next.js' 'React' 'Redux' 'Typescript'],1,2.0,2.0,,,,
94,"(107, 121, 2031)",['CSS' 'React' 'Redux'],4,9.0,7.0,2.0,,,
95,"(107, 121, 2031, 2101)",['CSS' 'React' 'React Hooks' 'Redux'],1,4.0,3.0,1.0,,,
96,"(107, 121, 313, 2031)",['CSS' 'React' 'Redux' 'XHTML'],1,9.0,7.0,2.0,,,
97,"(107, 122)",['CSS' 'Vue.js'],1,37.0,27.0,9.0,,,1.0
98,"(107, 122, 158, 159, 387)",['CSS' 'GraphQL' 'HTML' 'Typescript' 'Vue.js'],1,3.0,3.0,,,,
99,"(107, 122, 158, 311, 598)",['CSS' 'Javascript ES6' 'SASS' 'Typescript' 'Vue.js'],1,0.0,,,,,
100,"(107, 122, 2087)","['CSS' 'PHP, Laravel' 'Vue.js']",1,12.0,10.0,2.0,,,
101,"(107, 122, 313)",['CSS' 'Vue.js' 'XHTML'],1,37.0,27.0,9.0,,,1.0
102,"(107, 122, 387)",['CSS' 'HTML' 'Vue.js'],1,37.0,27.0,9.0,,,1.0
103,"(107, 122, 387, 2031)",['CSS' 'HTML' 'React' 'Vue.js'],1,10.0,10.0,,,,
104,"(107, 158, 159, 2031)",['CSS' 'GraphQL' 'React' 'Typescript'],1,2.0,2.0,,,,
105,"(107, 158, 159, 387)",['CSS' 'GraphQL' 'HTML' 'Typescript'],1,8.0,6.0,1.0,,,1.0
106,"(107, 158, 2031)",['CSS' 'React' 'Typescript'],7,22.0,18.0,4.0,,,
107,"(107, 158, 2036)",['Angular' 'CSS' 'Typescript'],2,12.0,8.0,4.0,,,
108,"(107, 158, 284, 387)",['CSS' 'HTML' 'Typescript' 'jQuery'],1,0.0,,,,,
109,"(107, 158, 311, 406, 2031, 2101)",['CSS' 'Next.js' 'React' 'React Hooks' 'SASS' 'Typescript'],1,0.0,,,,,
110,"(107, 158, 353, 2031)",['CSS' 'React' 'Typescript' 'UI Development'],1,0.0,,,,,
111,"(107, 158, 387, 1855)",['Angular 2+' 'CSS' 'HTML' 'Typescript'],2,12.0,8.0,4.0,,,
112,"(107, 158, 387, 2031)",['CSS' 'HTML' 'React' 'Typescript'],9,22.0,18.0,4.0,,,
113,"(107, 158, 387, 406, 2036)",['Angular' 'CSS' 'HTML' 'Next.js' 'Typescript'],1,1.0,1.0,,,,
114,"(107, 158, 404, 1397)",['AngularJS' 'CSS' 'RxJS' 'Typescript'],1,0.0,,,,,
115,"(107, 158, 602, 2031)",['CSS' 'Material UI' 'React' 'Typescript'],1,0.0,,,,,
116,"(107, 159, 387)",['CSS' 'GraphQL' 'HTML'],1,9.0,6.0,2.0,,,1.0
117,"(107, 159, 387, 2031)",['CSS' 'GraphQL' 'HTML' 'React'],2,3.0,2.0,1.0,,,
118,"(107, 159, 580, 594, 2036)",['Angular' 'Apollo' 'CSS' 'GraphQL' 'SCSS'],2,0.0,,,,,
119,"(107, 165, 387, 526)",['CSS' 'HTML' 'PHP' 'WordPress'],2,11.0,8.0,3.0,,,
120,"(107, 165, 433, 497, 526, 677)","['AWS' 'CSS' 'Database Administration' 'PHP' 'Website Development'
 'WordPress']",1,0.0,,,,,
121,"(107, 2031)",['CSS' 'React'],6,38.0,27.0,9.0,,,2.0
122,"(107, 2087)","['CSS' 'PHP, Laravel']",1,34.0,26.0,8.0,,,
123,"(107, 258, 602, 2031)",['CSS' 'Git' 'Material UI' 'React'],1,0.0,,,,,
124,"(107, 284)",['CSS' 'jQuery'],1,0.0,,,,,
125,"(107, 284, 311, 387, 2050)",['CSS' 'HTML' 'Python(Django)' 'SASS' 'jQuery'],1,0.0,,,,,
126,"(107, 305, 353, 387, 2036)",['Angular' 'CSS' 'HTML' 'Microservices' 'UI Development'],1,0.0,,,,,
127,"(107, 308, 1123, 1163, 1938)",['CSS' 'HTML5' 'UI Design' 'UX Design' 'Web3'],1,0.0,,,,,
128,"(107, 308, 2031)",['CSS' 'HTML5' 'React'],1,38.0,27.0,9.0,,,2.0
129,"(107, 308, 387)",['CSS' 'HTML' 'HTML5'],1,179.0,86.0,73.0,7.0,6.0,7.0
130,"(107, 313)",['CSS' 'XHTML'],1,179.0,86.0,73.0,7.0,6.0,7.0
131,"(107, 314, 2031)",['CSS' 'JavaScript Frameworks' 'React'],1,0.0,,,,,
132,"(107, 314, 387, 594, 1397, 2031)",['AngularJS' 'CSS' 'HTML' 'JavaScript Frameworks' 'React' 'SCSS'],1,0.0,,,,,
133,"(107, 387)",['CSS' 'HTML'],4,179.0,86.0,73.0,7.0,6.0,7.0
134,"(107, 387, 1123, 2031, 2036)",['Angular' 'CSS' 'HTML' 'React' 'UI Design'],1,0.0,,,,,
135,"(107, 387, 1397)",['AngularJS' 'CSS' 'HTML'],1,42.0,18.0,20.0,,2.0,2.0
136,"(107, 387, 1855)",['Angular 2+' 'CSS' 'HTML'],1,42.0,18.0,20.0,,2.0,2.0
137,"(107, 387, 2031)",['CSS' 'HTML' 'React'],9,38.0,27.0,9.0,,,2.0
138,"(107, 387, 2031, 2050)",['CSS' 'HTML' 'Python(Django)' 'React'],1,3.0,3.0,,,,
139,"(107, 387, 2036)",['Angular' 'CSS' 'HTML'],1,42.0,18.0,20.0,,2.0,2.0
140,"(107, 387, 406, 437, 2031)",['Bootstrap' 'CSS' 'HTML' 'Next.js' 'React'],1,0.0,,,,,
141,"(107, 387, 437)",['Bootstrap' 'CSS' 'HTML'],1,0.0,,,,,
142,"(107, 387, 475, 2031)",['CSS' 'HTML' 'React' 'Solidity'],1,0.0,,,,,
143,"(107, 387, 526)",['CSS' 'HTML' 'WordPress'],2,15.0,12.0,3.0,,,
144,"(107, 387, 598)",['CSS' 'HTML' 'Javascript ES6'],3,141.0,71.0,57.0,5.0,4.0,4.0
145,"(107, 406, 2031)",['CSS' 'Next.js' 'React'],1,7.0,6.0,,,,1.0
146,"(107, 472, 614)",['CSS' 'Figma' 'Sketch'],1,0.0,,,,,
147,"(107, 589, 590, 594)",['CSS' 'CSS: Flex' 'CSS: Grid' 'SCSS'],1,0.0,,,,,
148,"(1078,)",['Web Penetration Testing'],1,0.0,,,,,
149,"(108, 111)",['Android' 'REST/RESTful APIs'],1,50.0,6.0,20.0,19.0,5.0,
150,"(108, 111, 264)",['Android' 'JSON' 'REST/RESTful APIs'],1,0.0,,,,,
151,"(108, 120, 2031)",['Android' 'Node.js' 'React'],2,0.0,,,,,
152,"(108, 1299)",['Android' 'Back-End Development'],1,0.0,,,,,
153,"(108, 1561)",['Android' 'Mobile App Development'],2,0.0,,,,,
154,"(108, 160)",['Android' 'React Native'],3,28.0,4.0,10.0,3.0,1.0,10.0
155,"(108, 160, 2031)",['Android' 'React' 'React Native'],1,0.0,,,,,
156,"(108, 160, 568, 2067)",['Android' 'Android/Kotlin' 'React Native' 'iOS - Swift'],1,6.0,1.0,3.0,1.0,,1.0
157,"(108, 1830, 2068)",['Android' 'Android - Java' 'Android Testing'],1,321.0,12.0,59.0,177.0,55.0,18.0
158,"(108, 2067)",['Android' 'iOS - Swift'],4,19.0,3.0,10.0,4.0,,2.0
159,"(108, 258, 277, 448)",['Android' 'Android Studio' 'Git' 'Kotlin'],1,27.0,5.0,11.0,8.0,1.0,2.0
160,"(108, 277)",['Android' 'Kotlin'],13,321.0,12.0,59.0,177.0,55.0,18.0
161,"(108, 277, 2068)",['Android' 'Android - Java' 'Kotlin'],1,321.0,12.0,59.0,177.0,55.0,18.0
162,"(108, 277, 568)",['Android' 'Android/Kotlin' 'Kotlin'],2,321.0,12.0,59.0,177.0,55.0,18.0
163,"(108, 277, 568, 1561, 1847)","['Android' 'Android/Kotlin' 'Communication' 'Kotlin'
 'Mobile App Development']",1,0.0,,,,,
164,"(108, 392)",['Android' 'Flutter'],2,44.0,5.0,12.0,20.0,6.0,1.0
165,"(108, 406)",['Android' 'Next.js'],1,0.0,,,,,
166,"(108, 488)",['Android' 'Mobile Web Development '],6,0.0,,,,,
167,"(108, 567, 568)",['Android' 'Android/Java' 'Android/Kotlin'],3,321.0,12.0,59.0,177.0,55.0,18.0
168,"(108, 568)",['Android' 'Android/Kotlin'],8,321.0,12.0,59.0,177.0,55.0,18.0
169,"(108, 568, 1123, 1938)",['Android' 'Android/Kotlin' 'UI Design' 'UX Design'],1,0.0,,,,,
170,"(108,)",['Android'],44,321.0,12.0,59.0,177.0,55.0,18.0
171,"(109, 120, 122, 2031, 2036)",['.NET' 'Angular' 'Node.js' 'React' 'Vue.js'],1,0.0,,,,,
172,"(109, 120, 2031)",['.NET' 'Node.js' 'React'],1,0.0,,,,,
173,"(109, 125)",['.NET' 'API Design'],1,0.0,,,,,
174,"(109, 1397)",['.NET' 'AngularJS'],1,0.0,,,,,
175,"(109, 2031)",['.NET' 'React'],1,0.0,,,,,
176,"(109, 2036)",['.NET' 'Angular'],1,0.0,,,,,
177,"(109, 2061)",['.NET' 'MS SQLServer'],1,0.0,,,,,
178,"(109, 433, 2031)",['.NET' 'AWS' 'React'],1,0.0,,,,,
179,"(109,)",['.NET'],5,0.0,,,,,
180,"(111, 113, 116, 292, 305, 389, 1688, 2032)","['Hibernate' 'Java 8' 'Microservices' 'MongoDB' 'MySQL' 'OAuth APIs'
 'REST/RESTful APIs' 'SpringBoot']",1,0.0,,,,,
181,"(111, 113, 116, 862, 2087)","['MongoDB' 'MySQL' 'PHP, Laravel' 'REST/RESTful APIs' 'Web Development']",1,0.0,,,,,
182,"(111, 113, 120)",['MySQL' 'Node.js' 'REST/RESTful APIs'],2,248.0,146.0,86.0,8.0,5.0,3.0
183,"(111, 113, 158, 2107)",['MySQL' 'Nest.js' 'REST/RESTful APIs' 'Typescript'],1,0.0,,,,,
184,"(111, 114, 120, 258, 282)",['Express.js' 'Git' 'Node.js' 'REST/RESTful APIs' 'SQL'],1,52.0,39.0,11.0,,1.0,1.0
185,"(111, 114, 122, 358)",['Laravel' 'REST/RESTful APIs' 'SQL' 'Vue.js'],2,56.0,34.0,21.0,,1.0,
186,"(111, 114, 159)",['GraphQL' 'REST/RESTful APIs' 'SQL'],1,53.0,41.0,6.0,2.0,1.0,3.0
187,"(111, 114, 165, 258)",['Git' 'PHP' 'REST/RESTful APIs' 'SQL'],1,69.0,43.0,25.0,,1.0,
188,"(111, 114, 2031)",['REST/RESTful APIs' 'React' 'SQL'],2,149.0,116.0,29.0,,1.0,3.0
189,"(111, 114, 2087)","['PHP, Laravel' 'REST/RESTful APIs' 'SQL']",1,114.0,56.0,55.0,,2.0,1.0
190,"(111, 114, 259, 397, 1059, 1096, 2094)","['Data Engineer' 'Data Migration' 'REST/RESTful APIs' 'SQL' 'SSIS'
 'Talend Open Studio' 'Web API']",1,0.0,,,,,
191,"(111, 114, 388, 441, 666)",['.NET Core' 'ASP.NET' 'Entity Framework' 'REST/RESTful APIs' 'SQL'],1,0.0,,,,,
192,"(111, 116, 120, 2031)",['MongoDB' 'Node.js' 'REST/RESTful APIs' 'React'],1,60.0,52.0,7.0,,1.0,
193,"(111, 116, 120, 232, 675, 1555, 2091)","['AS3' 'Data Engineering' 'DynamoDB' 'Mathematics' 'MongoDB' 'Node.js'
 'REST/RESTful APIs']",1,0.0,,,,,
194,"(111, 120)",['Node.js' 'REST/RESTful APIs'],3,703.0,275.0,325.0,58.0,24.0,21.0
195,"(111, 120, 1059, 2115)",['Node.js' 'QA' 'REST/RESTful APIs' 'Web API'],1,0.0,,,,,
196,"(111, 120, 121, 598, 2031)",['Javascript ES6' 'Node.js' 'REST/RESTful APIs' 'React' 'Redux'],1,47.0,31.0,15.0,,,1.0
197,"(111, 120, 122)",['Node.js' 'REST/RESTful APIs' 'Vue.js'],3,150.0,86.0,52.0,8.0,2.0,2.0
198,"(111, 120, 122, 249)",['Cloud' 'Node.js' 'REST/RESTful APIs' 'Vue.js'],3,0.0,,,,,
199,"(111, 120, 1300)",['ETL' 'Node.js' 'REST/RESTful APIs'],1,0.0,,,,,
200,"(111, 120, 1397)",['AngularJS' 'Node.js' 'REST/RESTful APIs'],1,112.0,58.0,47.0,5.0,,2.0
201,"(111, 120, 158)",['Node.js' 'REST/RESTful APIs' 'Typescript'],1,294.0,157.0,113.0,14.0,3.0,7.0
202,"(111, 120, 158, 2031)",['Node.js' 'REST/RESTful APIs' 'React' 'Typescript'],1,152.0,103.0,42.0,2.0,1.0,4.0
203,"(111, 120, 159)",['GraphQL' 'Node.js' 'REST/RESTful APIs'],1,76.0,54.0,14.0,2.0,1.0,5.0
204,"(111, 120, 282)",['Express.js' 'Node.js' 'REST/RESTful APIs'],1,203.0,111.0,82.0,4.0,3.0,3.0
205,"(111, 120, 287, 305, 347)",['Agile' 'Microservices' 'NoSQL' 'Node.js' 'REST/RESTful APIs'],1,0.0,,,,,
206,"(111, 120, 406, 2031)",['Next.js' 'Node.js' 'REST/RESTful APIs' 'React'],1,32.0,23.0,8.0,1.0,,
207,"(111, 120, 433)",['AWS' 'Node.js' 'REST/RESTful APIs'],1,8.0,4.0,1.0,2.0,1.0,
208,"(111, 120, 433, 802, 1397)",['AWS' 'AngularJS' 'Node.js' 'REST/RESTful APIs' 'SOAP'],1,0.0,,,,,
209,"(111, 121, 158, 160)",['REST/RESTful APIs' 'React Native' 'Redux' 'Typescript'],1,22.0,15.0,5.0,,,2.0
210,"(111, 121, 159, 160, 338)",['Flux' 'GraphQL' 'REST/RESTful APIs' 'React Native' 'Redux'],1,0.0,,,,,
211,"(111, 121, 2031)",['REST/RESTful APIs' 'React' 'Redux'],3,108.0,60.0,43.0,,,5.0
212,"(111, 122, 249, 2031)",['Cloud' 'REST/RESTful APIs' 'React' 'Vue.js'],1,0.0,,,,,
213,"(111, 122, 292, 2087)","['OAuth APIs' 'PHP, Laravel' 'REST/RESTful APIs' 'Vue.js']",1,0.0,,,,,
214,"(111, 132, 183)",['Firebase' 'REST/RESTful APIs' 'Stripe'],1,0.0,,,,,
215,"(111, 158, 2031)",['REST/RESTful APIs' 'React' 'Typescript'],1,247.0,149.0,77.0,2.0,1.0,18.0
216,"(111, 159)",['GraphQL' 'REST/RESTful APIs'],1,129.0,80.0,31.0,6.0,2.0,10.0
217,"(111, 159, 1023, 1059, 1406, 2031, 2036)","['Angular' 'GraphQL' 'Open GL' 'REST/RESTful APIs' 'React' 'Teamcenter'
 'Web API']",1,0.0,,,,,
218,"(111, 159, 1059)",['GraphQL' 'REST/RESTful APIs' 'Web API'],1,0.0,,,,,
219,"(111, 159, 2031)",['GraphQL' 'REST/RESTful APIs' 'React'],1,72.0,51.0,14.0,,,7.0
220,"(111, 159, 2087)","['GraphQL' 'PHP, Laravel' 'REST/RESTful APIs']",1,11.0,8.0,2.0,,1.0,
221,"(111, 159, 304)",['Blockchain' 'GraphQL' 'REST/RESTful APIs'],1,9.0,8.0,,,,1.0
222,"(111, 160)",['REST/RESTful APIs' 'React Native'],4,162.0,55.0,63.0,1.0,2.0,41.0
223,"(111, 165, 2031)",['PHP' 'REST/RESTful APIs' 'React'],1,56.0,45.0,9.0,,,2.0
224,"(111, 165, 258, 331, 2119)",['Composer' 'Git' 'MVC' 'PHP' 'REST/RESTful APIs'],1,0.0,,,,,
225,"(111, 165, 358)",['Laravel' 'PHP' 'REST/RESTful APIs'],1,305.0,105.0,162.0,23.0,7.0,8.0
226,"(111, 165, 363, 980)",['PHP' 'REST APIs Testing' 'REST/RESTful APIs' 'Symfony'],1,0.0,,,,,
227,"(111, 165, 526)",['PHP' 'REST/RESTful APIs' 'WordPress'],1,45.0,28.0,13.0,1.0,3.0,
228,"(111, 165, 526, 1615)",['API Integrations  ' 'PHP' 'REST/RESTful APIs' 'WordPress'],1,0.0,,,,,
229,"(111, 166, 174, 2050, 2127)",['Linux ' 'Python(Django)' 'REST/RESTful APIs' 'Serverless' 'Unix'],2,0.0,,,,,
230,"(111, 167, 387, 2109)","['Algorithms and Data Structures' 'HTML' 'REST/RESTful APIs'
 'Tailwind CSS']",1,0.0,,,,,
231,"(111, 2031)",['REST/RESTful APIs' 'React'],3,493.0,224.0,184.0,5.0,3.0,77.0
232,"(111, 2031, 2050)",['Python(Django)' 'REST/RESTful APIs' 'React'],1,36.0,26.0,8.0,,,2.0
233,"(111, 2031, 2096)",['Go' 'REST/RESTful APIs' 'React'],1,33.0,17.0,8.0,,1.0,7.0
234,"(111, 2049)",['PHP/MySQL' 'REST/RESTful APIs'],1,188.0,95.0,87.0,1.0,4.0,1.0
235,"(111, 2050)",['Python(Django)' 'REST/RESTful APIs'],1,236.0,87.0,96.0,3.0,7.0,43.0
236,"(111, 2067, 2100)",['REST/RESTful APIs' 'WebRTC' 'iOS - Swift'],2,0.0,,,,,
237,"(111, 2101)",['REST/RESTful APIs' 'React Hooks'],1,52.0,36.0,12.0,,1.0,3.0
238,"(111, 258, 264, 309, 598, 2101)",['CSS3' 'Git' 'JSON' 'Javascript ES6' 'REST/RESTful APIs' 'React Hooks'],1,0.0,,,,,
239,"(111, 258, 568, 1699)",['Android/Kotlin' 'Git' 'REST/RESTful APIs' 'Wireframing & Prototyping'],1,0.0,,,,,
240,"(111, 264, 2031, 2036)",['Angular' 'JSON' 'REST/RESTful APIs' 'React'],1,0.0,,,,,
241,"(111, 264, 2067)",['JSON' 'REST/RESTful APIs' 'iOS - Swift'],1,0.0,,,,,
242,"(111, 264, 277, 567)",['Android/Java' 'JSON' 'Kotlin' 'REST/RESTful APIs'],1,0.0,,,,,
