,must_have_skill_ids_tuple,must_have_skill_names,num_must_have_skills,total_positions,chosen_sum_in_bulk_job,active_positions,passed_must_have_skill total_devs,passed_must_have_skill Elite,passed_must_have_skill High Quality,passed_must_have_skill Average,passed_must_have_skill Low Quality,passed_must_have_skill Low Experience,sk_li,single_skill,id,skill_name
15,"(102, 111, 132, 265, 568)",['Android/Kotlin' 'Firebase' 'MVVM' 'REST/RESTful APIs' 'XML'],5.0,1.0,0,0.0,0.0,,,,,,"['102', ' 111', ' 132', ' 265', ' 568']",111,111,REST/RESTful APIs
16,"(102, 111, 132, 265, 568)",['Android/Kotlin' 'Firebase' 'MVVM' 'REST/RESTful APIs' 'XML'],5.0,1.0,0,0.0,0.0,,,,,,"['102', ' 111', ' 132', ' 265', ' 568']",132,132,Firebase
17,"(102, 111, 132, 265, 568)",['Android/Kotlin' 'Firebase' 'MVVM' 'REST/RESTful APIs' 'XML'],5.0,1.0,0,0.0,0.0,,,,,,"['102', ' 111', ' 132', ' 265', ' 568']",265,265,XML
18,"(102, 111, 132, 265, 568)",['Android/Kotlin' 'Firebase' 'MVVM' 'REST/RESTful APIs' 'XML'],5.0,1.0,0,0.0,0.0,,,,,,"['102', ' 111', ' 132', ' 265', ' 568']",568,568,Android/Kotlin
19,"(102, 2067)",['MVVM' 'iOS - Swift'],2.0,1.0,1,0.0,0.0,,,,,,"['102', ' 2067']",102,102,MVVM
20,"(102, 2067)",['MVVM' 'iOS - Swift'],2.0,1.0,1,0.0,0.0,,,,,,"['102', ' 2067']",2067,2067,iOS - Swift
21,"(104, 113)",['MySQL' 'Scala'],2.0,1.0,0,0.0,44.0,16.0,20.0,6.0,,2.0,"['104', ' 113']",104,104,Scala
22,"(104, 113)",['MySQL' 'Scala'],2.0,1.0,0,0.0,44.0,16.0,20.0,6.0,,2.0,"['104', ' 113']",113,113,MySQL
23,"(104, 114, 221, 287)",['NoSQL' 'SQL' 'Scala' 'Spark'],4.0,1.0,0,0.0,0.0,,,,,,"['104', ' 114', ' 221', ' 287']",104,104,Scala
24,"(104, 114, 221, 287)",['NoSQL' 'SQL' 'Scala' 'Spark'],4.0,1.0,0,0.0,0.0,,,,,,"['104', ' 114', ' 221', ' 287']",114,114,SQL
25,"(104, 114, 221, 287)",['NoSQL' 'SQL' 'Scala' 'Spark'],4.0,1.0,0,0.0,0.0,,,,,,"['104', ' 114', ' 221', ' 287']",221,221,Spark
26,"(104, 114, 221, 287)",['NoSQL' 'SQL' 'Scala' 'Spark'],4.0,1.0,0,0.0,0.0,,,,,,"['104', ' 114', ' 221', ' 287']",287,287,NoSQL
27,"(104, 1196)",['Finance' 'Scala'],2.0,1.0,0,0.0,0.0,,,,,,"['104', ' 1196']",104,104,Scala
28,"(104, 1196)",['Finance' 'Scala'],2.0,1.0,0,0.0,0.0,,,,,,"['104', ' 1196']",1196,1196,Finance
29,"(104, 133, 1324)",['Akka' 'Apache Beam' 'Scala'],3.0,1.0,0,1.0,0.0,,,,,,"['104', ' 133', ' 1324']",104,104,Scala
30,"(104, 133, 1324)",['Akka' 'Apache Beam' 'Scala'],3.0,1.0,0,1.0,0.0,,,,,,"['104', ' 133', ' 1324']",133,133,Apache Beam
31,"(104, 133, 1324)",['Akka' 'Apache Beam' 'Scala'],3.0,1.0,0,1.0,0.0,,,,,,"['104', ' 133', ' 1324']",1324,1324,Akka
32,"(104, 158, 2031)",['React' 'Scala' 'Typescript'],3.0,1.0,0,0.0,2.0,2.0,,,,,"['104', ' 158', ' 2031']",104,104,Scala
33,"(104, 158, 2031)",['React' 'Scala' 'Typescript'],3.0,1.0,0,0.0,2.0,2.0,,,,,"['104', ' 158', ' 2031']",158,158,Typescript
34,"(104, 158, 2031)",['React' 'Scala' 'Typescript'],3.0,1.0,0,0.0,2.0,2.0,,,,,"['104', ' 158', ' 2031']",2031,2031,React
35,"(104, 167)",['Algorithms and Data Structures' 'Scala'],2.0,1.0,0,0.0,7.0,4.0,2.0,1.0,,,"['104', ' 167']",104,104,Scala
36,"(104, 167)",['Algorithms and Data Structures' 'Scala'],2.0,1.0,0,0.0,7.0,4.0,2.0,1.0,,,"['104', ' 167']",167,167,Algorithms and Data Structures
37,"(104, 168, 221)",['Hadoop' 'Scala' 'Spark'],3.0,1.0,0,0.0,0.0,,,,,,"['104', ' 168', ' 221']",104,104,Scala
38,"(104, 168, 221)",['Hadoop' 'Scala' 'Spark'],3.0,1.0,0,0.0,0.0,,,,,,"['104', ' 168', ' 221']",168,168,Hadoop
39,"(104, 168, 221)",['Hadoop' 'Scala' 'Spark'],3.0,1.0,0,0.0,0.0,,,,,,"['104', ' 168', ' 221']",221,221,Spark
40,"(104, 169)",['Clojure' 'Scala'],2.0,1.0,0,0.0,0.0,,,,,,"['104', ' 169']",104,104,Scala
41,"(104, 169)",['Clojure' 'Scala'],2.0,1.0,0,0.0,0.0,,,,,,"['104', ' 169']",169,169,Clojure
42,"(104, 1847)",['Communication' 'Scala'],2.0,1.0,0,0.0,0.0,,,,,,"['104', ' 1847']",104,104,Scala
43,"(104, 1847)",['Communication' 'Scala'],2.0,1.0,0,0.0,0.0,,,,,,"['104', ' 1847']",1847,1847,Communication
44,"(104, 192, 221)",['Big Data' 'Scala' 'Spark'],3.0,1.0,0,0.0,0.0,,,,,,"['104', ' 192', ' 221']",104,104,Scala
45,"(104, 192, 221)",['Big Data' 'Scala' 'Spark'],3.0,1.0,0,0.0,0.0,,,,,,"['104', ' 192', ' 221']",192,192,Big Data
46,"(104, 192, 221)",['Big Data' 'Scala' 'Spark'],3.0,1.0,0,0.0,0.0,,,,,,"['104', ' 192', ' 221']",221,221,Spark
47,"(104, 2031)",['React' 'Scala'],2.0,3.0,0,0.0,6.0,2.0,4.0,,,,"['104', ' 2031']",104,104,Scala
48,"(104, 2031)",['React' 'Scala'],2.0,3.0,0,0.0,6.0,2.0,4.0,,,,"['104', ' 2031']",2031,2031,React
49,"(104, 221)",['Scala' 'Spark'],2.0,3.0,1,1.0,19.0,7.0,8.0,4.0,,,"['104', ' 221']",104,104,Scala
50,"(104, 221)",['Scala' 'Spark'],2.0,3.0,1,1.0,19.0,7.0,8.0,4.0,,,"['104', ' 221']",221,221,Spark
51,"(104, 221, 1827)",['AWS Administration' 'Scala' 'Spark'],3.0,1.0,0,0.0,3.0,3.0,,,,,"['104', ' 221', ' 1827']",104,104,Scala
52,"(104, 221, 1827)",['AWS Administration' 'Scala' 'Spark'],3.0,1.0,0,0.0,3.0,3.0,,,,,"['104', ' 221', ' 1827']",221,221,Spark
53,"(104, 221, 1827)",['AWS Administration' 'Scala' 'Spark'],3.0,1.0,0,0.0,3.0,3.0,,,,,"['104', ' 221', ' 1827']",1827,1827,AWS Administration
54,"(104, 221, 433)",['AWS' 'Scala' 'Spark'],3.0,2.0,0,0.0,1.0,1.0,,,,,"['104', ' 221', ' 433']",104,104,Scala
55,"(104, 221, 433)",['AWS' 'Scala' 'Spark'],3.0,2.0,0,0.0,1.0,1.0,,,,,"['104', ' 221', ' 433']",221,221,Spark
56,"(104, 221, 433)",['AWS' 'Scala' 'Spark'],3.0,2.0,0,0.0,1.0,1.0,,,,,"['104', ' 221', ' 433']",433,433,AWS
57,"(104, 256)",['Data Warehousing' 'Scala'],2.0,1.0,0,0.0,0.0,,,,,,"['104', ' 256']",104,104,Scala
58,"(104, 256)",['Data Warehousing' 'Scala'],2.0,1.0,0,0.0,0.0,,,,,,"['104', ' 256']",256,256,Data Warehousing
59,"(104, 316)",['Haskell' 'Scala'],2.0,1.0,0,0.0,0.0,,,,,,"['104', ' 316']",104,104,Scala
60,"(104, 316)",['Haskell' 'Scala'],2.0,1.0,0,0.0,0.0,,,,,,"['104', ' 316']",316,316,Haskell
61,"(104,)",['Scala'],1.0,7.0,2,0.0,83.0,16.0,36.0,18.0,4.0,9.0,"['104', '']",104,104,Scala
62,"(105, 108, 160)",['Android' 'React Native' 'Swift'],3.0,1.0,0,0.0,6.0,1.0,3.0,1.0,,1.0,"['105', ' 108', ' 160']",105,105,Swift
63,"(105, 108, 160)",['Android' 'React Native' 'Swift'],3.0,1.0,0,0.0,6.0,1.0,3.0,1.0,,1.0,"['105', ' 108', ' 160']",108,108,Android
64,"(105, 108, 160)",['Android' 'React Native' 'Swift'],3.0,1.0,0,0.0,6.0,1.0,3.0,1.0,,1.0,"['105', ' 108', ' 160']",160,160,React Native
65,"(105, 108, 268, 304)",['Android' 'Blockchain' 'Machine Learning' 'Swift'],4.0,1.0,0,0.0,0.0,,,,,,"['105', ' 108', ' 268', ' 304']",105,105,Swift
66,"(105, 108, 268, 304)",['Android' 'Blockchain' 'Machine Learning' 'Swift'],4.0,1.0,0,0.0,0.0,,,,,,"['105', ' 108', ' 268', ' 304']",108,108,Android
67,"(105, 108, 268, 304)",['Android' 'Blockchain' 'Machine Learning' 'Swift'],4.0,1.0,0,0.0,0.0,,,,,,"['105', ' 108', ' 268', ' 304']",268,268,Machine Learning
68,"(105, 108, 268, 304)",['Android' 'Blockchain' 'Machine Learning' 'Swift'],4.0,1.0,0,0.0,0.0,,,,,,"['105', ' 108', ' 268', ' 304']",304,304,Blockchain
69,"(105, 108, 392, 2067)",['Android' 'Flutter' 'Swift' 'iOS - Swift'],4.0,1.0,0,0.0,6.0,2.0,3.0,1.0,,,"['105', ' 108', ' 392', ' 2067']",105,105,Swift
70,"(105, 108, 392, 2067)",['Android' 'Flutter' 'Swift' 'iOS - Swift'],4.0,1.0,0,0.0,6.0,2.0,3.0,1.0,,,"['105', ' 108', ' 392', ' 2067']",108,108,Android
71,"(105, 108, 392, 2067)",['Android' 'Flutter' 'Swift' 'iOS - Swift'],4.0,1.0,0,0.0,6.0,2.0,3.0,1.0,,,"['105', ' 108', ' 392', ' 2067']",392,392,Flutter
72,"(105, 108, 392, 2067)",['Android' 'Flutter' 'Swift' 'iOS - Swift'],4.0,1.0,0,0.0,6.0,2.0,3.0,1.0,,,"['105', ' 108', ' 392', ' 2067']",2067,2067,iOS - Swift
73,"(105, 108, 488, 568, 2067)","['Android' 'Android/Kotlin' 'Mobile Web Development ' 'Swift'
 'iOS - Swift']",5.0,1.0,0,0.0,0.0,,,,,,"['105', ' 108', ' 488', ' 568', ' 2067']",105,105,Swift
74,"(105, 108, 488, 568, 2067)","['Android' 'Android/Kotlin' 'Mobile Web Development ' 'Swift'
 'iOS - Swift']",5.0,1.0,0,0.0,0.0,,,,,,"['105', ' 108', ' 488', ' 568', ' 2067']",108,108,Android
75,"(105, 108, 488, 568, 2067)","['Android' 'Android/Kotlin' 'Mobile Web Development ' 'Swift'
 'iOS - Swift']",5.0,1.0,0,0.0,0.0,,,,,,"['105', ' 108', ' 488', ' 568', ' 2067']",488,488,Mobile Web Development 
76,"(105, 108, 488, 568, 2067)","['Android' 'Android/Kotlin' 'Mobile Web Development ' 'Swift'
 'iOS - Swift']",5.0,1.0,0,0.0,0.0,,,,,,"['105', ' 108', ' 488', ' 568', ' 2067']",568,568,Android/Kotlin
77,"(105, 108, 488, 568, 2067)","['Android' 'Android/Kotlin' 'Mobile Web Development ' 'Swift'
 'iOS - Swift']",5.0,1.0,0,0.0,0.0,,,,,,"['105', ' 108', ' 488', ' 568', ' 2067']",2067,2067,iOS - Swift
78,"(105, 116, 158)",['MongoDB' 'Swift' 'Typescript'],3.0,1.0,1,0.0,3.0,2.0,1.0,,,,"['105', ' 116', ' 158']",105,105,Swift
79,"(105, 116, 158)",['MongoDB' 'Swift' 'Typescript'],3.0,1.0,1,0.0,3.0,2.0,1.0,,,,"['105', ' 116', ' 158']",116,116,MongoDB
80,"(105, 116, 158)",['MongoDB' 'Swift' 'Typescript'],3.0,1.0,1,0.0,3.0,2.0,1.0,,,,"['105', ' 116', ' 158']",158,158,Typescript
81,"(105, 132)",['Firebase' 'Swift'],2.0,1.0,0,0.0,166.0,6.0,33.0,82.0,25.0,20.0,"['105', ' 132']",105,105,Swift
82,"(105, 132)",['Firebase' 'Swift'],2.0,1.0,0,0.0,166.0,6.0,33.0,82.0,25.0,20.0,"['105', ' 132']",132,132,Firebase
83,"(105, 132, 160, 277)",['Firebase' 'Kotlin' 'React Native' 'Swift'],4.0,1.0,0,0.0,2.0,1.0,1.0,,,,"['105', ' 132', ' 160', ' 277']",105,105,Swift
84,"(105, 132, 160, 277)",['Firebase' 'Kotlin' 'React Native' 'Swift'],4.0,1.0,0,0.0,2.0,1.0,1.0,,,,"['105', ' 132', ' 160', ' 277']",132,132,Firebase
85,"(105, 132, 160, 277)",['Firebase' 'Kotlin' 'React Native' 'Swift'],4.0,1.0,0,0.0,2.0,1.0,1.0,,,,"['105', ' 132', ' 160', ' 277']",160,160,React Native
86,"(105, 132, 160, 277)",['Firebase' 'Kotlin' 'React Native' 'Swift'],4.0,1.0,0,0.0,2.0,1.0,1.0,,,,"['105', ' 132', ' 160', ' 277']",277,277,Kotlin
87,"(105, 132, 2099)",['Firebase' 'Swift' 'SwiftUI'],3.0,1.0,0,0.0,166.0,6.0,33.0,82.0,25.0,20.0,"['105', ' 132', ' 2099']",105,105,Swift
88,"(105, 132, 2099)",['Firebase' 'Swift' 'SwiftUI'],3.0,1.0,0,0.0,166.0,6.0,33.0,82.0,25.0,20.0,"['105', ' 132', ' 2099']",132,132,Firebase
89,"(105, 132, 2099)",['Firebase' 'Swift' 'SwiftUI'],3.0,1.0,0,0.0,166.0,6.0,33.0,82.0,25.0,20.0,"['105', ' 132', ' 2099']",2099,2099,SwiftUI
90,"(105, 1453, 2099)",['3D Graphics' 'Swift' 'SwiftUI'],3.0,1.0,0,0.0,0.0,,,,,,"['105', ' 1453', ' 2099']",105,105,Swift
91,"(105, 1453, 2099)",['3D Graphics' 'Swift' 'SwiftUI'],3.0,1.0,0,0.0,0.0,,,,,,"['105', ' 1453', ' 2099']",1453,1453,3D Graphics
92,"(105, 1453, 2099)",['3D Graphics' 'Swift' 'SwiftUI'],3.0,1.0,0,0.0,0.0,,,,,,"['105', ' 1453', ' 2099']",2099,2099,SwiftUI
93,"(105, 157)",['Objective-C' 'Swift'],2.0,2.0,1,0.0,0.0,,,,,,"['105', ' 157']",105,105,Swift
94,"(105, 157)",['Objective-C' 'Swift'],2.0,2.0,1,0.0,0.0,,,,,,"['105', ' 157']",157,157,Objective-C
95,"(105, 157, 159)",['GraphQL' 'Objective-C' 'Swift'],3.0,3.0,1,0.0,0.0,,,,,,"['105', ' 157', ' 159']",105,105,Swift
96,"(105, 157, 159)",['GraphQL' 'Objective-C' 'Swift'],3.0,3.0,1,0.0,0.0,,,,,,"['105', ' 157', ' 159']",157,157,Objective-C
97,"(105, 157, 159)",['GraphQL' 'Objective-C' 'Swift'],3.0,3.0,1,0.0,0.0,,,,,,"['105', ' 157', ' 159']",159,159,GraphQL
98,"(105, 157, 2099)",['Objective-C' 'Swift' 'SwiftUI'],3.0,1.0,1,0.0,0.0,,,,,,"['105', ' 157', ' 2099']",105,105,Swift
99,"(105, 157, 2099)",['Objective-C' 'Swift' 'SwiftUI'],3.0,1.0,1,0.0,0.0,,,,,,"['105', ' 157', ' 2099']",157,157,Objective-C
100,"(105, 157, 2099)",['Objective-C' 'Swift' 'SwiftUI'],3.0,1.0,1,0.0,0.0,,,,,,"['105', ' 157', ' 2099']",2099,2099,SwiftUI
101,"(105, 157, 568)",['Android/Kotlin' 'Objective-C' 'Swift'],3.0,1.0,1,0.0,0.0,,,,,,"['105', ' 157', ' 568']",105,105,Swift
102,"(105, 157, 568)",['Android/Kotlin' 'Objective-C' 'Swift'],3.0,1.0,1,0.0,0.0,,,,,,"['105', ' 157', ' 568']",157,157,Objective-C
103,"(105, 157, 568)",['Android/Kotlin' 'Objective-C' 'Swift'],3.0,1.0,1,0.0,0.0,,,,,,"['105', ' 157', ' 568']",568,568,Android/Kotlin
104,"(105, 158, 160)",['React Native' 'Swift' 'Typescript'],3.0,1.0,0,0.0,6.0,3.0,2.0,,,1.0,"['105', ' 158', ' 160']",105,105,Swift
105,"(105, 158, 160)",['React Native' 'Swift' 'Typescript'],3.0,1.0,0,0.0,6.0,3.0,2.0,,,1.0,"['105', ' 158', ' 160']",158,158,Typescript
106,"(105, 158, 160)",['React Native' 'Swift' 'Typescript'],3.0,1.0,0,0.0,6.0,3.0,2.0,,,1.0,"['105', ' 158', ' 160']",160,160,React Native
107,"(105, 158, 2031)",['React' 'Swift' 'Typescript'],3.0,1.0,0,0.0,4.0,3.0,1.0,,,,"['105', ' 158', ' 2031']",105,105,Swift
108,"(105, 158, 2031)",['React' 'Swift' 'Typescript'],3.0,1.0,0,0.0,4.0,3.0,1.0,,,,"['105', ' 158', ' 2031']",158,158,Typescript
109,"(105, 158, 2031)",['React' 'Swift' 'Typescript'],3.0,1.0,0,0.0,4.0,3.0,1.0,,,,"['105', ' 158', ' 2031']",2031,2031,React
110,"(105, 159, 580, 2099)",['Apollo' 'GraphQL' 'Swift' 'SwiftUI'],4.0,1.0,1,0.0,1.0,1.0,,,,,"['105', ' 159', ' 580', ' 2099']",105,105,Swift
111,"(105, 159, 580, 2099)",['Apollo' 'GraphQL' 'Swift' 'SwiftUI'],4.0,1.0,1,0.0,1.0,1.0,,,,,"['105', ' 159', ' 580', ' 2099']",159,159,GraphQL
112,"(105, 159, 580, 2099)",['Apollo' 'GraphQL' 'Swift' 'SwiftUI'],4.0,1.0,1,0.0,1.0,1.0,,,,,"['105', ' 159', ' 580', ' 2099']",580,580,Apollo
113,"(105, 159, 580, 2099)",['Apollo' 'GraphQL' 'Swift' 'SwiftUI'],4.0,1.0,1,0.0,1.0,1.0,,,,,"['105', ' 159', ' 580', ' 2099']",2099,2099,SwiftUI
114,"(105, 160)",['React Native' 'Swift'],2.0,1.0,1,0.0,75.0,7.0,25.0,2.0,2.0,39.0,"['105', ' 160']",105,105,Swift
115,"(105, 160)",['React Native' 'Swift'],2.0,1.0,1,0.0,75.0,7.0,25.0,2.0,2.0,39.0,"['105', ' 160']",160,160,React Native
116,"(105, 160, 1013)",['AWS Lambda' 'React Native' 'Swift'],3.0,1.0,0,0.0,0.0,,,,,,"['105', ' 160', ' 1013']",105,105,Swift
117,"(105, 160, 1013)",['AWS Lambda' 'React Native' 'Swift'],3.0,1.0,0,0.0,0.0,,,,,,"['105', ' 160', ' 1013']",160,160,React Native
118,"(105, 160, 1013)",['AWS Lambda' 'React Native' 'Swift'],3.0,1.0,0,0.0,0.0,,,,,,"['105', ' 160', ' 1013']",1013,1013,AWS Lambda
119,"(105, 160, 1059)",['React Native' 'Swift' 'Web API'],3.0,1.0,0,0.0,0.0,,,,,,"['105', ' 160', ' 1059']",105,105,Swift
120,"(105, 160, 1059)",['React Native' 'Swift' 'Web API'],3.0,1.0,0,0.0,0.0,,,,,,"['105', ' 160', ' 1059']",160,160,React Native
121,"(105, 160, 1059)",['React Native' 'Swift' 'Web API'],3.0,1.0,0,0.0,0.0,,,,,,"['105', ' 160', ' 1059']",1059,1059,Web API
122,"(105, 160, 165, 567)",['Android/Java' 'PHP' 'React Native' 'Swift'],4.0,1.0,0,0.0,3.0,3.0,,,,,"['105', ' 160', ' 165', ' 567']",105,105,Swift
123,"(105, 160, 165, 567)",['Android/Java' 'PHP' 'React Native' 'Swift'],4.0,1.0,0,0.0,3.0,3.0,,,,,"['105', ' 160', ' 165', ' 567']",160,160,React Native
124,"(105, 160, 165, 567)",['Android/Java' 'PHP' 'React Native' 'Swift'],4.0,1.0,0,0.0,3.0,3.0,,,,,"['105', ' 160', ' 165', ' 567']",165,165,PHP
125,"(105, 160, 165, 567)",['Android/Java' 'PHP' 'React Native' 'Swift'],4.0,1.0,0,0.0,3.0,3.0,,,,,"['105', ' 160', ' 165', ' 567']",567,567,Android/Java
126,"(105, 160, 277)",['Kotlin' 'React Native' 'Swift'],3.0,1.0,0,0.0,6.0,1.0,3.0,1.0,,1.0,"['105', ' 160', ' 277']",105,105,Swift
127,"(105, 160, 277)",['Kotlin' 'React Native' 'Swift'],3.0,1.0,0,0.0,6.0,1.0,3.0,1.0,,1.0,"['105', ' 160', ' 277']",160,160,React Native
128,"(105, 160, 277)",['Kotlin' 'React Native' 'Swift'],3.0,1.0,0,0.0,6.0,1.0,3.0,1.0,,1.0,"['105', ' 160', ' 277']",277,277,Kotlin
129,"(105, 160, 406)",['Next.js' 'React Native' 'Swift'],3.0,1.0,0,0.0,1.0,,1.0,,,,"['105', ' 160', ' 406']",105,105,Swift
130,"(105, 160, 406)",['Next.js' 'React Native' 'Swift'],3.0,1.0,0,0.0,1.0,,1.0,,,,"['105', ' 160', ' 406']",160,160,React Native
131,"(105, 160, 406)",['Next.js' 'React Native' 'Swift'],3.0,1.0,0,0.0,1.0,,1.0,,,,"['105', ' 160', ' 406']",406,406,Next.js
132,"(105, 160, 411, 567)",['Android/Java' 'Data Science' 'React Native' 'Swift'],4.0,1.0,0,0.0,0.0,,,,,,"['105', ' 160', ' 411', ' 567']",105,105,Swift
133,"(105, 160, 411, 567)",['Android/Java' 'Data Science' 'React Native' 'Swift'],4.0,1.0,0,0.0,0.0,,,,,,"['105', ' 160', ' 411', ' 567']",160,160,React Native
134,"(105, 160, 411, 567)",['Android/Java' 'Data Science' 'React Native' 'Swift'],4.0,1.0,0,0.0,0.0,,,,,,"['105', ' 160', ' 411', ' 567']",411,411,Data Science
135,"(105, 160, 411, 567)",['Android/Java' 'Data Science' 'React Native' 'Swift'],4.0,1.0,0,0.0,0.0,,,,,,"['105', ' 160', ' 411', ' 567']",567,567,Android/Java
136,"(105, 1615, 2067, 2099)",['API Integrations  ' 'Swift' 'SwiftUI' 'iOS - Swift'],4.0,1.0,0,0.0,0.0,,,,,,"['105', ' 1615', ' 2067', ' 2099']",105,105,Swift
137,"(105, 1615, 2067, 2099)",['API Integrations  ' 'Swift' 'SwiftUI' 'iOS - Swift'],4.0,1.0,0,0.0,0.0,,,,,,"['105', ' 1615', ' 2067', ' 2099']",1615,1615,API Integrations  
138,"(105, 1615, 2067, 2099)",['API Integrations  ' 'Swift' 'SwiftUI' 'iOS - Swift'],4.0,1.0,0,0.0,0.0,,,,,,"['105', ' 1615', ' 2067', ' 2099']",2067,2067,iOS - Swift
139,"(105, 1615, 2067, 2099)",['API Integrations  ' 'Swift' 'SwiftUI' 'iOS - Swift'],4.0,1.0,0,0.0,0.0,,,,,,"['105', ' 1615', ' 2067', ' 2099']",2099,2099,SwiftUI
140,"(105, 2067)",['Swift' 'iOS - Swift'],2.0,7.0,0,0.0,888.0,24.0,112.0,492.0,171.0,89.0,"['105', ' 2067']",105,105,Swift
141,"(105, 2067)",['Swift' 'iOS - Swift'],2.0,7.0,0,0.0,888.0,24.0,112.0,492.0,171.0,89.0,"['105', ' 2067']",2067,2067,iOS - Swift
142,"(105, 2099)",['Swift' 'SwiftUI'],2.0,1.0,0,1.0,888.0,24.0,112.0,492.0,171.0,89.0,"['105', ' 2099']",105,105,Swift
143,"(105, 2099)",['Swift' 'SwiftUI'],2.0,1.0,0,1.0,888.0,24.0,112.0,492.0,171.0,89.0,"['105', ' 2099']",2099,2099,SwiftUI
144,"(105, 277)",['Kotlin' 'Swift'],2.0,1.0,0,0.0,19.0,3.0,10.0,4.0,,2.0,"['105', ' 277']",105,105,Swift
145,"(105, 277)",['Kotlin' 'Swift'],2.0,1.0,0,0.0,19.0,3.0,10.0,4.0,,2.0,"['105', ' 277']",277,277,Kotlin
146,"(105, 277, 1849)",['Kotlin' 'Swift' 'Tech Lead'],3.0,1.0,0,0.0,0.0,,,,,,"['105', ' 277', ' 1849']",105,105,Swift
147,"(105, 277, 1849)",['Kotlin' 'Swift' 'Tech Lead'],3.0,1.0,0,0.0,0.0,,,,,,"['105', ' 277', ' 1849']",277,277,Kotlin
148,"(105, 277, 1849)",['Kotlin' 'Swift' 'Tech Lead'],3.0,1.0,0,0.0,0.0,,,,,,"['105', ' 277', ' 1849']",1849,1849,Tech Lead
149,"(105, 277, 508)",['Ionic' 'Kotlin' 'Swift'],3.0,1.0,0,0.0,0.0,,,,,,"['105', ' 277', ' 508']",105,105,Swift
150,"(105, 277, 508)",['Ionic' 'Kotlin' 'Swift'],3.0,1.0,0,0.0,0.0,,,,,,"['105', ' 277', ' 508']",277,277,Kotlin
151,"(105, 277, 508)",['Ionic' 'Kotlin' 'Swift'],3.0,1.0,0,0.0,0.0,,,,,,"['105', ' 277', ' 508']",508,508,Ionic
