,must_have_skill_ids_tuple,must_have_skill_names_y,total_positions,total_open_positions__c,dc,must_have_skill_names,job_id,passed_must_have_skill total_devs,passed_must_have_skill Elite,passed_must_have_skill High Quality,passed_must_have_skill Average,passed_must_have_skill Low Quality,passed_must_have_skill Low Experience
36,"(105, 158, 2031)",['React' 'Swift' 'Typescript'],1.0,0.0,0,['React' 'Swift' 'Typescript'],1,4.0,3.0,1.0,,,
37,"(105, 159, 580, 2099)",['Apollo' 'GraphQL' 'Swift' 'SwiftUI'],1.0,0.0,1,['Apollo' 'GraphQL' 'Swift' 'SwiftUI'],1,1.0,1.0,,,,
38,"(105, 160)",['React Native' 'Swift'],1.0,0.0,1,['React Native' 'Swift'],3,75.0,7.0,25.0,2.0,2.0,39.0
39,"(105, 160, 1013)",['AWS Lambda' 'React Native' 'Swift'],1.0,1.0,0,['AWS Lambda' 'React Native' 'Swift'],1,0.0,,,,,
40,"(105, 160, 1059)",['React Native' 'Swift' 'Web API'],1.0,0.0,0,['React Native' 'Swift' 'Web API'],1,0.0,,,,,
41,"(105, 160, 165, 567)",['Android/Java' 'PHP' 'React Native' 'Swift'],1.0,0.0,0,['Android/Java' 'PHP' 'React Native' 'Swift'],1,3.0,3.0,,,,
42,"(105, 160, 277)",['Kotlin' 'React Native' 'Swift'],1.0,0.0,0,['Kotlin' 'React Native' 'Swift'],1,6.0,1.0,3.0,1.0,,1.0
43,"(105, 160, 406)",['Next.js' 'React Native' 'Swift'],1.0,0.0,0,['Next.js' 'React Native' 'Swift'],1,1.0,,1.0,,,
44,"(105, 160, 411, 567)",['Android/Java' 'Data Science' 'React Native' 'Swift'],1.0,0.0,0,['Android/Java' 'Data Science' 'React Native' 'Swift'],1,0.0,,,,,
45,"(105, 1615, 2067, 2099)",['API Integrations  ' 'Swift' 'SwiftUI' 'iOS - Swift'],1.0,0.0,0,['API Integrations  ' 'Swift' 'SwiftUI' 'iOS - Swift'],1,0.0,,,,,
46,"(105, 2067)",['Swift' 'iOS - Swift'],7.0,5.0,0,['Swift' 'iOS - Swift'],4,888.0,24.0,112.0,492.0,171.0,89.0
47,"(105, 277)",['Kotlin' 'Swift'],1.0,0.0,0,['Kotlin' 'Swift'],1,19.0,3.0,10.0,4.0,,2.0
48,"(105, 277, 1849)",['Kotlin' 'Swift' 'Tech Lead'],1.0,0.0,0,['Kotlin' 'Swift' 'Tech Lead'],1,0.0,,,,,
49,"(105, 277, 508)",['Ionic' 'Kotlin' 'Swift'],1.0,0.0,0,['Ionic' 'Kotlin' 'Swift'],1,0.0,,,,,
50,"(105, 353)",['Swift' 'UI Development'],1.0,0.0,0,['Swift' 'UI Development'],1,0.0,,,,,
51,"(105, 567)",['Android/Java' 'Swift'],1.0,0.0,0,['Android/Java' 'Swift'],1,99.0,9.0,45.0,27.0,6.0,12.0
52,"(105, 567, 568)",['Android/Java' 'Android/Kotlin' 'Swift'],1.0,0.0,0,['Android/Java' 'Android/Kotlin' 'Swift'],1,19.0,3.0,10.0,4.0,,2.0
53,"(105, 568)",['Android/Kotlin' 'Swift'],2.0,1.0,1,['Android/Kotlin' 'Swift'],3,19.0,3.0,10.0,4.0,,2.0
54,"(105,)",['Swift'],14.0,3.0,4,['Swift'],21,888.0,24.0,112.0,492.0,171.0,89.0
55,"(1057,)",['Artificial Intelligence'],2.0,0.0,2,['Artificial Intelligence'],2,0.0,,,,,
56,"(1059, 1615)",['API Integrations  ' 'Web API'],1.0,0.0,0,['API Integrations  ' 'Web API'],1,0.0,,,,,
57,"(1059, 2087)","['PHP, Laravel' 'Web API']",1.0,0.0,0,"['PHP, Laravel' 'Web API']",1,0.0,,,,,
58,"(1059,)",['Web API'],1.0,0.0,0,['Web API'],1,0.0,,,,,
59,"(107, 111, 122, 158, 321, 387, 598, 774, 2031, 2036)","['Angular' 'Babel' 'CSS' 'HTML' 'Javascript ES6' 'REST/RESTful APIs'
 'React' 'Typescript' 'Vue.js' 'Webpack']",1.0,0.0,0,"['Angular' 'Babel' 'CSS' 'HTML' 'Javascript ES6' 'REST/RESTful APIs'
 'React' 'Typescript' 'Vue.js' 'Webpack']",1,0.0,,,,,
60,"(107, 111, 387, 2020, 2031)",['CSS' 'HTML' 'REST/RESTful APIs' 'React' 'Spring'],1.0,0.0,0,['CSS' 'HTML' 'REST/RESTful APIs' 'React' 'Spring'],1,0.0,,,,,
61,"(107, 111, 387, 598)",['CSS' 'HTML' 'Javascript ES6' 'REST/RESTful APIs'],1.0,0.0,1,['CSS' 'HTML' 'Javascript ES6' 'REST/RESTful APIs'],1,42.0,33.0,7.0,,,2.0
62,"(107, 111, 387, 769, 2031)",['CSS' 'HTML' 'REST/RESTful APIs' 'React' 'Software Development'],1.0,0.0,1,['CSS' 'HTML' 'REST/RESTful APIs' 'React' 'Software Development'],1,0.0,,,,,
63,"(107, 114, 120, 158, 387, 2031)",['CSS' 'HTML' 'Node.js' 'React' 'SQL' 'Typescript'],1.0,0.0,0,['CSS' 'HTML' 'Node.js' 'React' 'SQL' 'Typescript'],1,5.0,5.0,,,,
64,"(107, 114, 120, 287, 2031)",['CSS' 'NoSQL' 'Node.js' 'React' 'SQL'],1.0,0.0,0,['CSS' 'NoSQL' 'Node.js' 'React' 'SQL'],1,0.0,,,,,
65,"(107, 114, 120, 387, 2031)",['CSS' 'HTML' 'Node.js' 'React' 'SQL'],1.0,0.0,0,['CSS' 'HTML' 'Node.js' 'React' 'SQL'],1,5.0,5.0,,,,
66,"(107, 114, 120, 387, 392)",['CSS' 'Flutter' 'HTML' 'Node.js' 'SQL'],2.0,0.0,0,['CSS' 'Flutter' 'HTML' 'Node.js' 'SQL'],2,0.0,,,,,
67,"(107, 114, 120, 387, 392, 488, 1561)","['CSS' 'Flutter' 'HTML' 'Mobile App Development' 'Mobile Web Development '
 'Node.js' 'SQL']",1.0,0.0,0,"['CSS' 'Flutter' 'HTML' 'Mobile App Development' 'Mobile Web Development '
 'Node.js' 'SQL']",1,0.0,,,,,
68,"(107, 120, 121, 158, 2031)",['CSS' 'Node.js' 'React' 'Redux' 'Typescript'],1.0,0.0,0,['CSS' 'Node.js' 'React' 'Redux' 'Typescript'],1,5.0,5.0,,,,
69,"(107, 120, 121, 160, 2031)",['CSS' 'Node.js' 'React' 'React Native' 'Redux'],1.0,0.0,0,['CSS' 'Node.js' 'React' 'React Native' 'Redux'],1,1.0,1.0,,,,
70,"(107, 120, 122, 158, 387)",['CSS' 'HTML' 'Node.js' 'Typescript' 'Vue.js'],1.0,0.0,0,['CSS' 'HTML' 'Node.js' 'Typescript' 'Vue.js'],1,9.0,8.0,1.0,,,
71,"(107, 120, 122, 159, 387)",['CSS' 'GraphQL' 'HTML' 'Node.js' 'Vue.js'],1.0,0.0,1,['CSS' 'GraphQL' 'HTML' 'Node.js' 'Vue.js'],1,0.0,,,,,
72,"(107, 120, 158, 159, 2031)",['CSS' 'GraphQL' 'Node.js' 'React' 'Typescript'],1.0,0.0,1,['CSS' 'GraphQL' 'Node.js' 'React' 'Typescript'],1,2.0,2.0,,,,
73,"(107, 120, 160, 2031)",['CSS' 'Node.js' 'React' 'React Native'],1.0,0.0,0,['CSS' 'Node.js' 'React' 'React Native'],1,3.0,3.0,,,,
74,"(107, 120, 1855)",['Angular 2+' 'CSS' 'Node.js'],1.0,0.0,0,['Angular 2+' 'CSS' 'Node.js'],1,17.0,12.0,5.0,,,
75,"(107, 120, 2031)",['CSS' 'Node.js' 'React'],5.0,1.0,3,['CSS' 'Node.js' 'React'],4,16.0,16.0,,,,
76,"(107, 120, 284, 387)",['CSS' 'HTML' 'Node.js' 'jQuery'],1.0,0.0,0,['CSS' 'HTML' 'Node.js' 'jQuery'],1,0.0,,,,,
77,"(107, 120, 314)",['CSS' 'JavaScript Frameworks' 'Node.js'],1.0,0.0,0,['CSS' 'JavaScript Frameworks' 'Node.js'],1,0.0,,,,,
78,"(107, 120, 387)",['CSS' 'HTML' 'Node.js'],1.0,0.0,0,['CSS' 'HTML' 'Node.js'],2,55.0,38.0,13.0,,,4.0
79,"(107, 120, 387, 2031)",['CSS' 'HTML' 'Node.js' 'React'],3.0,0.0,2,['CSS' 'HTML' 'Node.js' 'React'],3,16.0,16.0,,,,
80,"(107, 121, 122, 308, 437, 598)",['Bootstrap' 'CSS' 'HTML5' 'Javascript ES6' 'Redux' 'Vue.js'],1.0,0.0,0,['Bootstrap' 'CSS' 'HTML5' 'Javascript ES6' 'Redux' 'Vue.js'],1,0.0,,,,,
81,"(107, 121, 158, 320, 387, 2031)",['CSS' 'Chrome Extensions' 'HTML' 'React' 'Redux' 'Typescript'],1.0,1.0,0,['CSS' 'Chrome Extensions' 'HTML' 'React' 'Redux' 'Typescript'],1,0.0,,,,,
82,"(107, 121, 158, 387, 406, 2031)",['CSS' 'HTML' 'Next.js' 'React' 'Redux' 'Typescript'],1.0,0.0,0,['CSS' 'HTML' 'Next.js' 'React' 'Redux' 'Typescript'],1,2.0,2.0,,,,
83,"(107, 121, 2031)",['CSS' 'React' 'Redux'],3.0,0.0,1,['CSS' 'React' 'Redux'],4,9.0,7.0,2.0,,,
84,"(107, 121, 2031, 2101)",['CSS' 'React' 'React Hooks' 'Redux'],1.0,0.0,0,['CSS' 'React' 'React Hooks' 'Redux'],1,4.0,3.0,1.0,,,
85,"(107, 121, 313, 2031)",['CSS' 'React' 'Redux' 'XHTML'],1.0,0.0,0,['CSS' 'React' 'Redux' 'XHTML'],1,9.0,7.0,2.0,,,
86,"(107, 122)",['CSS' 'Vue.js'],1.0,0.0,0,['CSS' 'Vue.js'],1,37.0,27.0,9.0,,,1.0
87,"(107, 122, 158, 159, 387)",['CSS' 'GraphQL' 'HTML' 'Typescript' 'Vue.js'],1.0,0.0,1,['CSS' 'GraphQL' 'HTML' 'Typescript' 'Vue.js'],1,3.0,3.0,,,,
88,"(107, 122, 158, 311, 598)",['CSS' 'Javascript ES6' 'SASS' 'Typescript' 'Vue.js'],1.0,0.0,0,['CSS' 'Javascript ES6' 'SASS' 'Typescript' 'Vue.js'],1,0.0,,,,,
89,"(107, 122, 2087)","['CSS' 'PHP, Laravel' 'Vue.js']",1.0,0.0,0,"['CSS' 'PHP, Laravel' 'Vue.js']",1,12.0,10.0,2.0,,,
90,"(107, 122, 387)",['CSS' 'HTML' 'Vue.js'],1.0,0.0,0,['CSS' 'HTML' 'Vue.js'],1,37.0,27.0,9.0,,,1.0
91,"(107, 122, 387, 2031)",['CSS' 'HTML' 'React' 'Vue.js'],1.0,0.0,0,['CSS' 'HTML' 'React' 'Vue.js'],1,10.0,10.0,,,,
92,"(107, 158, 159, 2031)",['CSS' 'GraphQL' 'React' 'Typescript'],1.0,0.0,0,['CSS' 'GraphQL' 'React' 'Typescript'],1,2.0,2.0,,,,
93,"(107, 158, 159, 387)",['CSS' 'GraphQL' 'HTML' 'Typescript'],1.0,0.0,0,['CSS' 'GraphQL' 'HTML' 'Typescript'],1,8.0,6.0,1.0,,,1.0
94,"(107, 158, 2031)",['CSS' 'React' 'Typescript'],7.0,1.0,3,['CSS' 'React' 'Typescript'],7,22.0,18.0,4.0,,,
95,"(107, 158, 2036)",['Angular' 'CSS' 'Typescript'],2.0,0.0,0,['Angular' 'CSS' 'Typescript'],2,12.0,8.0,4.0,,,
96,"(107, 158, 284, 387)",['CSS' 'HTML' 'Typescript' 'jQuery'],1.0,0.0,0,['CSS' 'HTML' 'Typescript' 'jQuery'],1,0.0,,,,,
97,"(107, 158, 311, 406, 2031, 2101)",['CSS' 'Next.js' 'React' 'React Hooks' 'SASS' 'Typescript'],1.0,0.0,1,['CSS' 'Next.js' 'React' 'React Hooks' 'SASS' 'Typescript'],1,0.0,,,,,
98,"(107, 158, 353, 2031)",['CSS' 'React' 'Typescript' 'UI Development'],1.0,0.0,0,['CSS' 'React' 'Typescript' 'UI Development'],1,0.0,,,,,
99,"(107, 158, 387, 1855)",['Angular 2+' 'CSS' 'HTML' 'Typescript'],4.0,0.0,2,['Angular 2+' 'CSS' 'HTML' 'Typescript'],2,12.0,8.0,4.0,,,
100,"(107, 158, 387, 2031)",['CSS' 'HTML' 'React' 'Typescript'],9.0,0.0,1,['CSS' 'HTML' 'React' 'Typescript'],9,22.0,18.0,4.0,,,
101,"(107, 158, 387, 406, 2036)",['Angular' 'CSS' 'HTML' 'Next.js' 'Typescript'],1.0,0.0,0,['Angular' 'CSS' 'HTML' 'Next.js' 'Typescript'],1,1.0,1.0,,,,
102,"(107, 158, 404, 1397)",['AngularJS' 'CSS' 'RxJS' 'Typescript'],1.0,0.0,0,['AngularJS' 'CSS' 'RxJS' 'Typescript'],1,0.0,,,,,
103,"(107, 158, 602, 2031)",['CSS' 'Material UI' 'React' 'Typescript'],1.0,0.0,0,['CSS' 'Material UI' 'React' 'Typescript'],1,0.0,,,,,
104,"(107, 159, 387)",['CSS' 'GraphQL' 'HTML'],1.0,0.0,0,['CSS' 'GraphQL' 'HTML'],1,9.0,6.0,2.0,,,1.0
105,"(107, 159, 387, 2031)",['CSS' 'GraphQL' 'HTML' 'React'],2.0,1.0,0,['CSS' 'GraphQL' 'HTML' 'React'],2,3.0,2.0,1.0,,,
106,"(107, 159, 580, 594, 2036)",['Angular' 'Apollo' 'CSS' 'GraphQL' 'SCSS'],3.0,0.0,1,['Angular' 'Apollo' 'CSS' 'GraphQL' 'SCSS'],2,0.0,,,,,
107,"(107, 165, 387, 526)",['CSS' 'HTML' 'PHP' 'WordPress'],1.0,0.0,0,['CSS' 'HTML' 'PHP' 'WordPress'],2,11.0,8.0,3.0,,,
108,"(107, 165, 433, 497, 526, 677)","['AWS' 'CSS' 'Database Administration' 'PHP' 'Website Development'
 'WordPress']",1.0,0.0,0,"['AWS' 'CSS' 'Database Administration' 'PHP' 'Website Development'
 'WordPress']",1,0.0,,,,,
109,"(107, 2031)",['CSS' 'React'],5.0,0.0,1,['CSS' 'React'],6,38.0,27.0,9.0,,,2.0
110,"(107, 2087)","['CSS' 'PHP, Laravel']",1.0,0.0,0,"['CSS' 'PHP, Laravel']",1,34.0,26.0,8.0,,,
111,"(107, 258, 602, 2031)",['CSS' 'Git' 'Material UI' 'React'],1.0,0.0,0,['CSS' 'Git' 'Material UI' 'React'],1,0.0,,,,,
112,"(107, 284, 311, 387, 2050)",['CSS' 'HTML' 'Python(Django)' 'SASS' 'jQuery'],1.0,0.0,0,['CSS' 'HTML' 'Python(Django)' 'SASS' 'jQuery'],1,0.0,,,,,
113,"(107, 305, 353, 387, 2036)",['Angular' 'CSS' 'HTML' 'Microservices' 'UI Development'],1.0,0.0,0,['Angular' 'CSS' 'HTML' 'Microservices' 'UI Development'],1,0.0,,,,,
114,"(107, 308, 1123, 1163, 1938)",['CSS' 'HTML5' 'UI Design' 'UX Design' 'Web3'],1.0,0.0,0,['CSS' 'HTML5' 'UI Design' 'UX Design' 'Web3'],1,0.0,,,,,
115,"(107, 308, 2031)",['CSS' 'HTML5' 'React'],1.0,0.0,0,['CSS' 'HTML5' 'React'],1,38.0,27.0,9.0,,,2.0
116,"(107, 308, 387)",['CSS' 'HTML' 'HTML5'],1.0,0.0,0,['CSS' 'HTML' 'HTML5'],1,179.0,86.0,73.0,7.0,6.0,7.0
117,"(107, 313)",['CSS' 'XHTML'],1.0,0.0,0,['CSS' 'XHTML'],1,179.0,86.0,73.0,7.0,6.0,7.0
118,"(107, 314, 2031)",['CSS' 'JavaScript Frameworks' 'React'],1.0,0.0,0,['CSS' 'JavaScript Frameworks' 'React'],1,0.0,,,,,
119,"(107, 314, 387, 594, 1397, 2031)",['AngularJS' 'CSS' 'HTML' 'JavaScript Frameworks' 'React' 'SCSS'],1.0,0.0,1,['AngularJS' 'CSS' 'HTML' 'JavaScript Frameworks' 'React' 'SCSS'],1,0.0,,,,,
120,"(107, 387)",['CSS' 'HTML'],4.0,0.0,0,['CSS' 'HTML'],4,179.0,86.0,73.0,7.0,6.0,7.0
121,"(107, 387, 1123, 2031, 2036)",['Angular' 'CSS' 'HTML' 'React' 'UI Design'],1.0,0.0,0,['Angular' 'CSS' 'HTML' 'React' 'UI Design'],1,0.0,,,,,
122,"(107, 387, 1397)",['AngularJS' 'CSS' 'HTML'],1.0,0.0,0,['AngularJS' 'CSS' 'HTML'],1,42.0,18.0,20.0,,2.0,2.0
123,"(107, 387, 1855)",['Angular 2+' 'CSS' 'HTML'],1.0,0.0,0,['Angular 2+' 'CSS' 'HTML'],1,42.0,18.0,20.0,,2.0,2.0
124,"(107, 387, 2031)",['CSS' 'HTML' 'React'],8.0,0.0,2,['CSS' 'HTML' 'React'],9,38.0,27.0,9.0,,,2.0
125,"(107, 387, 2031, 2050)",['CSS' 'HTML' 'Python(Django)' 'React'],1.0,0.0,0,['CSS' 'HTML' 'Python(Django)' 'React'],1,3.0,3.0,,,,
126,"(107, 387, 2036)",['Angular' 'CSS' 'HTML'],1.0,0.0,0,['Angular' 'CSS' 'HTML'],1,42.0,18.0,20.0,,2.0,2.0
127,"(107, 387, 406, 437, 2031)",['Bootstrap' 'CSS' 'HTML' 'Next.js' 'React'],2.0,0.0,0,['Bootstrap' 'CSS' 'HTML' 'Next.js' 'React'],1,0.0,,,,,
128,"(107, 387, 437)",['Bootstrap' 'CSS' 'HTML'],1.0,0.0,1,['Bootstrap' 'CSS' 'HTML'],1,0.0,,,,,
129,"(107, 387, 475, 2031)",['CSS' 'HTML' 'React' 'Solidity'],1.0,0.0,0,['CSS' 'HTML' 'React' 'Solidity'],1,0.0,,,,,
130,"(107, 387, 526)",['CSS' 'HTML' 'WordPress'],2.0,0.0,0,['CSS' 'HTML' 'WordPress'],2,15.0,12.0,3.0,,,
131,"(107, 387, 598)",['CSS' 'HTML' 'Javascript ES6'],3.0,3.0,3,['CSS' 'HTML' 'Javascript ES6'],3,141.0,71.0,57.0,5.0,4.0,4.0
132,"(107, 472, 614)",['CSS' 'Figma' 'Sketch'],1.0,0.0,0,['CSS' 'Figma' 'Sketch'],1,0.0,,,,,
133,"(107, 589, 590, 594)",['CSS' 'CSS: Flex' 'CSS: Grid' 'SCSS'],1.0,0.0,0,['CSS' 'CSS: Flex' 'CSS: Grid' 'SCSS'],1,0.0,,,,,
134,"(108, 111)",['Android' 'REST/RESTful APIs'],1.0,0.0,0,['Android' 'REST/RESTful APIs'],1,50.0,6.0,20.0,19.0,5.0,
135,"(108, 111, 264)",['Android' 'JSON' 'REST/RESTful APIs'],1.0,0.0,0,['Android' 'JSON' 'REST/RESTful APIs'],1,0.0,,,,,
136,"(108, 120, 2031)",['Android' 'Node.js' 'React'],1.0,0.0,0,['Android' 'Node.js' 'React'],2,0.0,,,,,
137,"(108, 1299)",['Android' 'Back-End Development'],1.0,0.0,1,['Android' 'Back-End Development'],1,0.0,,,,,
138,"(108, 1561)",['Android' 'Mobile App Development'],2.0,2.0,2,['Android' 'Mobile App Development'],2,0.0,,,,,
139,"(108, 160)",['Android' 'React Native'],15.0,14.0,1,['Android' 'React Native'],3,28.0,4.0,10.0,3.0,1.0,10.0
140,"(108, 1830, 2068)",['Android' 'Android - Java' 'Android Testing'],1.0,0.0,0,['Android' 'Android - Java' 'Android Testing'],1,321.0,12.0,59.0,177.0,55.0,18.0
141,"(108, 2067)",['Android' 'iOS - Swift'],4.0,0.0,2,['Android' 'iOS - Swift'],4,19.0,3.0,10.0,4.0,,2.0
142,"(108, 258, 277, 448)",['Android' 'Android Studio' 'Git' 'Kotlin'],1.0,0.0,0,['Android' 'Android Studio' 'Git' 'Kotlin'],1,27.0,5.0,11.0,8.0,1.0,2.0
143,"(108, 277)",['Android' 'Kotlin'],25.0,18.0,7,['Android' 'Kotlin'],13,321.0,12.0,59.0,177.0,55.0,18.0
144,"(108, 277, 2068)",['Android' 'Android - Java' 'Kotlin'],1.0,0.0,0,['Android' 'Android - Java' 'Kotlin'],1,321.0,12.0,59.0,177.0,55.0,18.0
145,"(108, 277, 568)",['Android' 'Android/Kotlin' 'Kotlin'],2.0,0.0,0,['Android' 'Android/Kotlin' 'Kotlin'],2,321.0,12.0,59.0,177.0,55.0,18.0
146,"(108, 277, 568, 1561, 1847)","['Android' 'Android/Kotlin' 'Communication' 'Kotlin'
 'Mobile App Development']",1.0,0.0,0,"['Android' 'Android/Kotlin' 'Communication' 'Kotlin'
 'Mobile App Development']",1,0.0,,,,,
147,"(108, 392)",['Android' 'Flutter'],2.0,0.0,0,['Android' 'Flutter'],2,44.0,5.0,12.0,20.0,6.0,1.0
148,"(108, 406)",['Android' 'Next.js'],1.0,0.0,0,['Android' 'Next.js'],1,0.0,,,,,
149,"(108, 488)",['Android' 'Mobile Web Development '],15.0,0.0,6,['Android' 'Mobile Web Development '],6,0.0,,,,,
150,"(108, 567, 568)",['Android' 'Android/Java' 'Android/Kotlin'],2.0,0.0,0,['Android' 'Android/Java' 'Android/Kotlin'],3,321.0,12.0,59.0,177.0,55.0,18.0
151,"(108, 568)",['Android' 'Android/Kotlin'],7.0,3.0,7,['Android' 'Android/Kotlin'],8,321.0,12.0,59.0,177.0,55.0,18.0
152,"(108, 568, 1123, 1938)",['Android' 'Android/Kotlin' 'UI Design' 'UX Design'],1.0,1.0,0,['Android' 'Android/Kotlin' 'UI Design' 'UX Design'],1,0.0,,,,,
153,"(108,)",['Android'],29.0,13.0,15,['Android'],44,321.0,12.0,59.0,177.0,55.0,18.0
154,"(109, 120, 122, 2031, 2036)",['.NET' 'Angular' 'Node.js' 'React' 'Vue.js'],1.0,0.0,0,['.NET' 'Angular' 'Node.js' 'React' 'Vue.js'],1,0.0,,,,,
155,"(109, 120, 2031)",['.NET' 'Node.js' 'React'],1.0,0.0,0,['.NET' 'Node.js' 'React'],1,0.0,,,,,
156,"(109, 125)",['.NET' 'API Design'],1.0,0.0,0,['.NET' 'API Design'],1,0.0,,,,,
